term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"islamic","islam","48","1000","0.048","1.4433779197916858","1.040068136370941"
"libya","libya","42","1000","0.042","1.311988394163161","0.7923309731478109"
"algeria","algeria","42","1000","0.042","",""
"violence","violenc","41","1000","0.041","-0.7112904632243238","1.0951143990913461"
"french","french","30","1000","0.03","1.7460231841082772","-0.32168022872738167"
"muslim","muslim","29","1000","0.029","1.254941370980484","1.183713962936316"
"egypt","egypt","29","1000","0.029","1.7324845045665485","0.4530145629081955"
"africa","africa","28","1000","0.028","2.137556774292784","0.2444087074137342"
"united","unit","27","1000","0.027","-0.24634004380325394","0.124674079854376"
"terrorists","terrorist","27","1000","0.027","-0.3740105344914486","1.6985106937732348"
"syria","syria","27","1000","0.027","1.2738612238634557","0.680967901242101"
"arab","arab","27","1000","0.027","1.6104123663422578","0.5595321745442912"
"mali","mali","26","1000","0.026","1.1124049283089583","-0.05432732617737267"
"france","franc","26","1000","0.026","2.1443346791296687","-0.08469995231320501"
"american","american","25","1000","0.025","1.9172984761121337","-0.08499676298446088"
"terrorism","terror","23","1000","0.023","-0.4249589074241023","1.483607969772329"
"islamists","islamist","23","1000","0.023","0.4279688808740569","1.2205445466060323"
"iraq","iraq","23","1000","0.023","1.87832936102337","0.7192359252640893"
"economic","econom","21","1000","0.021","-0.45736212120101777","0.0015460963999761898"
"algerian","algerian","21","1000","0.021","",""
"europe","europ","20","1000","0.02","2.2452751781205014","-0.04942802068625346"
"african","african","19","1000","0.019","1.906085670619946","0.088018879221831"
"israel","israel","18","1000","0.018","1.939060635716744","0.9571078086647556"
"militant","milit","17","1000","0.017","-0.6734352198268967","1.5248230112431524"
"armed","arm","17","1000","0.017","-0.5239838337037122","0.38980822184725855"
"western","western","16","1000","0.016","-0.22341790916389995","-0.11920722214744577"
"european","european","16","1000","0.016","1.9501804061449453","-0.19775242846088512"
"egyptian","egyptian","16","1000","0.016","1.0252822689416046","0.188472167511397"
"sudan","sudan","15","1000","0.015","1.2373351078564083","0.28626955491706507"
"protests","protest","15","1000","0.015","-0.7286242286600816","0.7554855142645316"
"paris","pari","15","1000","0.015","1.9007110391105093","-0.24045948435033493"
"palestinian","palestinian","15","1000","0.015","1.1148402298876927","0.933201417538975"
"army","armi","15","1000","0.015","-0.22928948028165363","0.9063367635873258"
"nominee","nomine","14","1000","0.014","-0.6494566841044481","-0.14545294245027474"
"nations","nation","14","1000","0.014","-0.2238923218288425","0.5557637980394018"
"morocco","morocco","14","1000","0.014","0.75731143490694","0.10551455561191267"
"fighters","fighter","14","1000","0.014","-0.26195711059973537","0.8116588780608369"
"democratic","democrat","14","1000","0.014","-0.33869586222081505","1.2906664498804303"
"university","univers","13","1000","0.013","-0.403187972165085","-0.06345828349968573"
"refugees","refuge","13","1000","0.013","-0.4657918779158023","1.0958810947966715"
"rebel","rebel","13","1000","0.013","-0.4899487863168068","1.247530794269159"
"minister","minist","13","1000","0.013","-0.5105412265485407","0.287387539445487"
"jewish","jewish","13","1000","0.013","1.6089782175975678","0.6144418174139671"
"isis","isi","13","1000","0.013","0.21457194712776181","-0.45045972851620325"
"iran","iran","13","1000","0.013","1.9323468279471332","0.7440990732192309"
"country's","countri","13","1000","0.013","0.48139492971226605","0.06771306445540902"
"qaeda","qaeda","12","1000","0.012","-0.02192262743599563","-0.10487644810329075"
"libyan","libyan","12","1000","0.012","0.5100789906782648","0.27239844906729377"
"leader","leader","12","1000","0.012","-0.5677237040768588","-0.20653190891810713"
"freedom","freedom","12","1000","0.012","-0.2538299200396961","0.5517988500709711"
"elections","elect","12","1000","0.012","-0.44087379562439816","0.9097422564540353"
"download","download","12","1000","0.012","0.2719861150989546","-0.465379605861949"
"children","children","11","1000","0.011","-0.48389458128166596","0.08600262344019392"
"territory","territori","10","1000","0.01","-0.5816968226509789","-0.04566758913872788"
"syrian","syrian","10","1000","0.01","0.6488000488882615","0.22672814344900288"
"radical","radic","10","1000","0.01","-0.44235046526252114","0.41643177626647354"
"northern","northern","10","1000","0.01","-0.34837239005746895","-0.1642203094466442"
"jihadists","jihadist","10","1000","0.01","-0.08714414247949093","1.9179734962438855"
"jews","jew","10","1000","0.01","1.5068364650408568","0.968573447879677"
"israeli","isra","10","1000","0.01","1.6807835208604622","0.7539497891207693"
"fulbright","fulbright","10","1000","0.01","",""
"extremist","extremist","10","1000","0.01","-0.46638487331443346","1.5065293789126377"
"brotherhood","brotherhood","10","1000","0.01","-0.2736276773467738","0.4862323337797342"
"british","british","10","1000","0.01","1.9695662436557217","0.07093921450815018"
"violent","violent","9","1000","0.009","-0.5681517140561158","0.4840633319549271"
"usa","usa","9","1000","0.009","2.323156897169202","-0.27997414590074216"
"soldiers","soldier","9","1000","0.009","-0.5413483018552739","0.8831831147543532"
"saudi","saudi","9","1000","0.009","1.5703187806550933","0.3560331279583867"
"independent","independ","9","1000","0.009","-0.5283096812200779","-0.27295966955171186"
"immigration","immigr","9","1000","0.009","-0.28625307544348727","0.6487911315346158"
"global","global","9","1000","0.009","-0.18382731984788894","-0.3727278667176723"
"david","david","9","1000","0.009","2.2553413697511457","-0.7536360197218853"
"crisis","crisi","9","1000","0.009","-0.5242461230652141","0.2617112918780217"
"china","china","9","1000","0.009","0.8577876431933422","-0.3031495974278101"
"campaign","campaign","9","1000","0.009","-0.5763496998961765","-0.12989097702012448"
"youth","youth","8","1000","0.008","-0.4161563781943994","-0.044003787315800576"
"weapons","weapon","8","1000","0.008","-0.613850124054953","0.5400258350534708"
