term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"violence","violenc","370","1000","0.37","-0.5098494861894989","1.6082558731393526"
"congo","congo","358","1000","0.358","1.0589598733714896","0.19683842392906875"
"congolese","congoles","117","1000","0.117","",""
"democratic","democrat","109","1000","0.109","-0.0588886123243595","1.0223215827654102"
"rape","rape","63","1000","0.063","-0.22054131796804302","0.9738735673739136"
"united","unit","60","1000","0.06","-0.12454147718763063","0.10261206803964064"
"armed","arm","60","1000","0.06","-0.31726500937236735","0.5729931197033474"
"rebels","rebel","58","1000","0.058","-0.22021213421434688","1.8089929699649996"
"nations","nation","58","1000","0.058","-0.07445101990810542","0.44104946371046894"
"conflicts","conflict","58","1000","0.058","-0.5219158122978296","0.6391090040189634"
"eastern","eastern","56","1000","0.056","-0.0777146680538076","0.0039508554031418945"
"african","african","50","1000","0.05","2.033865643938203","0.060250208220659754"
"minerals","miner","49","1000","0.049","-0.009189679064459307","0.16241218145749642"
"rwanda","rwanda","46","1000","0.046","",""
"children","children","38","1000","0.038","-0.30564307109722616","0.3153915865124565"
"sudan","sudan","37","1000","0.037","1.3863753033501778","0.35393296762291343"
"peacekeeping","peacekeep","37","1000","0.037","-0.1351568460926107","1.339038758917318"
"refugees","refuge","35","1000","0.035","-0.18921091469911908","1.3222560273134856"
"africa","africa","34","1000","0.034","2.2489125793078566","0.21841057176961354"
"drc","drc","33","1000","0.033","",""
"victims","victim","32","1000","0.032","-0.41043736940857467","0.554047064731371"
"displaced","displac","28","1000","0.028","-0.49026823074361603","0.5593463966614188"
"global","global","27","1000","0.027","-0.11155467702576007","-0.40584641752654116"
"army","armi","27","1000","0.027","0.03864806042844022","0.9232709043339287"
"crimes","crime","26","1000","0.026","-0.31388818605888835","1.3212530945822474"
"militias","militia","24","1000","0.024","-0.09334831649716578","1.9989843976663675"
"ethnic","ethnic","23","1000","0.023","-0.12270069188089992","0.8167383395802936"
"ebola","ebola","23","1000","0.023","0.6448766242431071","0.34403425565053275"
"civilians","civilian","23","1000","0.023","-0.4347616780666929","1.6989247936816516"
"outbreak","outbreak","22","1000","0.022","-0.4398536289703766","0.6473969179706047"
"election","elect","22","1000","0.022","-0.33414964118796064","0.4632804478999903"
"syria","syria","21","1000","0.021","1.448942149318593","0.531824068702116"
"soldiers","soldier","21","1000","0.021","-0.2475452910120889","1.0201538742534577"
"m23","m23","21","1000","0.021","",""
"zones","zone","20","1000","0.02","-0.04563373634530714","0.03232146034939906"
"uganda","uganda","20","1000","0.02","0.7846660953376305","-0.015465933700313936"
"kabila","kabila","20","1000","0.02","0.2851079540506938","-0.21545041407643253"
"goma","goma","18","1000","0.018","0.4847669206603214","-0.2443452069121256"
"abuse","abus","18","1000","0.018","-0.31505487806083693","0.6381404041711213"
"survivors","survivor","17","1000","0.017","-0.40610907971450083","0.4737192446610547"
"flee","flee","17","1000","0.017","-0.4467819578264437","0.6516648610712513"
"iraq","iraq","16","1000","0.016","2.1107036832086656","0.6431097075842336"
"humanitarian","humanitarian","16","1000","0.016","-0.3929021352670626","1.0994482153446206"
"wars","war","15","1000","0.015","0.23107971128193266","0.742592186205532"
"rwandan","rwandan","15","1000","0.015","",""
"america's","america","15","1000","0.015","1.6404806368633686","-0.291831753374067"
"weapon","weapon","14","1000","0.014","-0.39436069422197156","0.1849508878490266"
"violations","violat","14","1000","0.014","-0.5504056432662023","0.448473899678163"
"province","provinc","14","1000","0.014","-0.15043074997483355","0.2917996112056825"
"campaign","campaign","14","1000","0.014","-0.45989908290116155","-0.02605855306204641"
"world's","world","13","1000","0.013","0.061015962929650745","-0.34335002940782294"
"reuters","reuter","13","1000","0.013","1.3338775574812434","-0.10370905255126245"
"perpetrators","perpetr","13","1000","0.013","-0.20726705398600484","1.2328703601890987"
"joseph","joseph","13","1000","0.013","2.0881829950118544","-0.4493748372467464"
"independence","independ","13","1000","0.013","-0.1140287218328056","0.5587580834332533"
"escalating","escal","13","1000","0.013","-0.6053910517669557","0.04588123331536262"
"ensure","ensur","13","1000","0.013","-0.43957044868919243","-0.4423764960099643"
"committing","commit","13","1000","0.013","-0.357615743696953","-0.15906653896858694"
"brutal","brutal","13","1000","0.013","-0.3874470434485277","0.5460551531339202"
"tin","tin","12","1000","0.012","0.4191265899120434","-0.14341531064924212"
"monusco","monusco","12","1000","0.012","",""
"kivu","kivu","12","1000","0.012","",""
"genocide","genocid","12","1000","0.012","0.005438140752325921","1.770353689735114"
"crisis","crisi","12","1000","0.012","-0.4205652675176117","0.5322147134066774"
"ban","ban","12","1000","0.012","-0.372986955963286","-0.08169300551187636"
"violent","violent","11","1000","0.011","-0.39680585036790844","0.796819519087128"
"tutsis","tutsi","11","1000","0.011","",""
"ongoing","ongo","11","1000","0.011","-0.5409085955749218","-0.44827203195357923"
"education","educ","11","1000","0.011","-0.18459395964234016","0.008309603991405488"
"country's","countri","11","1000","0.011","0.6100276819837182","0.023694178340096888"
"trump","trump","10","1000","0.01","-0.1880656825042741","-0.7137750952930705"
"territory","territori","10","1000","0.01","-0.3697043465154166","0.027665503066506624"
"somalia","somalia","10","1000","0.01","1.2281524918140256","0.6152560632031225"
"protests","protest","10","1000","0.01","-0.5416070848063813","0.9303370903326152"
"kony","koni","10","1000","0.01","",""
"kinshasa","kinshasa","10","1000","0.01","",""
"fueling","fuel","10","1000","0.01","-0.4547810568468087","-0.5764741288530602"
"fighters","fighter","10","1000","0.01","0.019274577662313518","0.8367301197988241"
"economic","econom","10","1000","0.01","-0.3405361480633742","0.023784804289182424"
"deadly","dead","10","1000","0.01","-0.34080888963877026","0.32610221971855685"
"commission","commiss","10","1000","0.01","-0.37523548156694264","-0.042960528098690554"
"burundi","burundi","10","1000","0.01","",""
"atrocities","atroc","10","1000","0.01","-0.16110385019608633","1.951978987134188"
"stability","stabil","9","1000","0.009","-0.4075800108179244","0.002259560363231999"
"minister","minist","9","1000","0.009","-0.25000059401890706","0.42457371092981644"
"linked","link","9","1000","0.009","-0.4130374945052958","-0.6695803056004362"
