term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"darfur","darfur","474","1000","0.474","0.5967236765882522","0.2443573797673704"
"violence","violenc","345","1000","0.345","-0.5974474508968226","1.4570320283329081"
"sudan","sudan","221","1000","0.221","1.3260974630605653","0.3779787052190678"
"united","unit","81","1000","0.081","-0.16965205088562493","0.10024131805445051"
"rebel","rebel","77","1000","0.077","-0.29956794843736034","1.5116568638087566"
"sudanese","sudanes","71","1000","0.071","",""
"peacekeeping","peacekeep","71","1000","0.071","-0.2809574454953166","1.4011412902141642"
"african","african","67","1000","0.067","1.9278816448614895","0.07213024828421"
"nations","nation","66","1000","0.066","-0.13017140264195615","0.4796269645907302"
"genocide","genocid","63","1000","0.063","-0.11207178768174653","1.7562565059949211"
"armed","arm","49","1000","0.049","-0.38558516220045175","0.6148636688096892"
"civilians","civilian","48","1000","0.048","-0.5429780170695164","1.789382709624991"
"displaced","displac","46","1000","0.046","-0.5426289768068622","0.478850223963604"
"crimes","crime","46","1000","0.046","-0.3594113800405109","1.1527451111325817"
"conflicts","conflict","46","1000","0.046","-0.6036397044119551","0.4738352527175398"
"al-bashir","al-bashir","42","1000","0.042","",""
"khartoum","khartoum","41","1000","0.041","",""
"ethnic","ethnic","40","1000","0.04","-0.17820090354778584","0.793011762997042"
"humanitarian","humanitarian","38","1000","0.038","-0.48096531579322804","1.054687169619067"
"criminal","crimin","38","1000","0.038","-0.4611993044899182","0.43248353577522747"
"western","western","32","1000","0.032","-0.09666899816052889","0.005732880669603387"
"militias","militia","32","1000","0.032","-0.24506937255342712","2.09743255323444"
"campaign","campaign","31","1000","0.031","-0.4285482225865769","-0.09346410928248655"
"arab","arab","28","1000","0.028","1.7206485936451739","0.44301720973961517"
"300,000","300,000","28","1000","0.028","",""
"rape","rape","27","1000","0.027","-0.24937063642256585","0.811148103561473"
"darfuri","darfuri","26","1000","0.026","",""
"refugees","refuge","25","1000","0.025","-0.25926457998353214","1.2924468309735064"
"atrocities","atroc","25","1000","0.025","-0.2847399669555903","1.84454655603428"
"unamid","unamid","23","1000","0.023","",""
"southern","southern","23","1000","0.023","-0.2585099008053055","0.10000947196866476"
"janjaweed","janjawe","21","1000","0.021","0.11642298868927706","2.262477346374931"
"icc","icc","21","1000","0.021","0.8642827500439452","-0.0918081454432874"
"africa","africa","21","1000","0.021","2.1542280811839327","0.18052000199055945"
"omar","omar","20","1000","0.02","1.3238332892392202","0.07711593244921072"
"activists","activist","20","1000","0.02","-0.3947843615270852","0.5664644461460498"
"tribes","tribe","19","1000","0.019","-0.15512983074552517","0.8301394495594944"
"bashir","bashir","19","1000","0.019","0.3030592984387024","0.027268344898469916"
"violent","violent","18","1000","0.018","-0.4903016225650716","0.6495070174195937"
"violations","violat","18","1000","0.018","-0.5362219388266086","0.29435306995792654"
"investigate","investig","18","1000","0.018","-0.57004490180586","-0.31839477540106953"
"zones","zone","17","1000","0.017","-0.0861748356598644","-0.05349682367768125"
"tribal","tribal","17","1000","0.017","-0.07352751992945741","0.7405096723009813"
"syria","syria","17","1000","0.017","1.3990023936858802","0.6416079123996016"
"protesters","protest","17","1000","0.017","-0.3535266297387854","1.0373206826423673"
"sanctions","sanction","16","1000","0.016","-0.5292117728319453","0.7440626788473371"
"obama","obama","16","1000","0.016","2.5775246171050137","0.30835786912232427"
"kordofan","kordofan","16","1000","0.016","",""
"congo","congo","16","1000","0.016","1.0131101341096913","0.17389527126145435"
"china","china","16","1000","0.016","0.936919270664855","-0.2651179604873552"
"chad","chad","16","1000","0.016","1.5485777981262314","-0.08769543703482809"
"iraq","iraq","15","1000","0.015","2.02689748087057","0.7726990407135678"
"allegedly","alleg","15","1000","0.015","-0.2908034082914912","-0.1271890744563692"
"independence","independ","14","1000","0.014","-0.2091074841711696","0.656938411661062"
"economic","econom","14","1000","0.014","-0.3712543452842769","-0.05315922673393953"
"accusing","accus","14","1000","0.014","-0.4877368576606261","-0.275826748271191"
"abuses","abus","14","1000","0.014","-0.5029712848287663","0.9573232835882202"
"linked","link","13","1000","0.013","-0.43878259585876966","-0.7127609816878648"
"leader","leader","13","1000","0.013","-0.37337416691361036","-0.20650423226995968"
"john","john","13","1000","0.013","1.7185666762635141","-0.4710660241594372"
"crisis","crisi","13","1000","0.013","-0.4624794326462364","0.4038961186145499"
"chinese","chines","13","1000","0.013","1.9912802031781678","-0.22190988684757662"
"ongoing","ongo","12","1000","0.012","-0.5244428649129939","-0.49299406371569354"
"minister","minist","12","1000","0.012","-0.2405471388796249","0.3979097367531092"
"libya","libya","12","1000","0.012","1.4666490254278026","0.8542826127607307"
"jebel","jebel","12","1000","0.012","",""
"indicted","indict","12","1000","0.012","-0.6050179996343875","-0.02875106272414616"
"clashes","clash","12","1000","0.012","-0.5656912922387491","1.030520602155113"
"children","children","12","1000","0.012","-0.29539316192344894","0.21876366948065804"
"brutal","brutal","12","1000","0.012","-0.4478819344909696","0.38964169563107887"
"villages","villag","11","1000","0.011","-0.008058623623544437","0.7006444980266806"
"targeted","target","11","1000","0.011","-0.43673210533656553","-0.4414141278597809"
"talks","talk","11","1000","0.011","-0.5462656122433504","-0.006619815292498539"
"non-arab","non-arab","11","1000","0.011","",""
"nile","nile","11","1000","0.011","0.6543530991435866","-0.3182382925605026"
"muslim","muslim","11","1000","0.011","1.4812413830375941","0.8625636513199276"
"marra","marra","11","1000","0.011","",""
"killings","kill","11","1000","0.011","-0.5597629566431271","1.5937697376831903"
"erupted","erupt","11","1000","0.011","-0.5511186826660567","-0.1370707583217025"
"eastern","eastern","11","1000","0.011","-0.08370525488705684","0.029393391650029622"
"discrimination","discrimin","11","1000","0.011","-0.41097052654513094","0.5224988079392358"
"deaths","death","11","1000","0.011","-0.4944644512597421","0.8116678350412795"
"country's","countri","11","1000","0.011","0.5734278618720144","-0.002994749274688944"
"committing","commit","11","1000","0.011","-0.3900758145832557","-0.2476581265123643"
"christian","christian","11","1000","0.011","1.5930751515066148","0.37726090444187166"
"2.5","2.5","11","1000","0.011","",""
"withdraw","withdraw","10","1000","0.01","-0.5372268363011402","-0.13132644713710817"
"university","univers","10","1000","0.01","-0.20966301120883135","-0.06767249649965165"
"resolve","resolv","10","1000","0.01","-0.7291119671287786","-0.22563411526592794"
"renewed","renew","10","1000","0.01","-0.7019900285741422","-0.46544651460196207"
"north-south","north-south","10","1000","0.01","-0.03860813126501406","-0.2893830654195637"
"media","media","10","1000","0.01","-0.15526855073854742","-0.18317604836886736"
"insurgency","insurg","10","1000","0.01","-0.40485234212138466","2.2351830196870344"
"flee","flee","10","1000","0.01","-0.5200469807491549","0.5986939246945137"
"escalated","escal","10","1000","0.01","-0.7831007269367156","-0.1746554151667048"
"deployed","deploy","10","1000","0.01","-0.45498906440761644","-0.0862050331309506"
"cooperation","cooper","10","1000","0.01","-0.4944722978357365","0.11841011073835621"
"clooney","clooney","10","1000","0.01","0.2705418550345174","-0.2554394692573271"
"climate","climat","10","1000","0.01","-0.21574845012836202","-0.08249138511174665"
"agreement","agreement","10","1000","0.01","-0.5625473389236464","-0.2656479056980685"
"abyei","abyei","10","1000","0.01","",""
"referendum","referendum","9","1000","0.009","-0.37007940181774696","0.643181809598753"
"northern","northern","9","1000","0.009","-0.22620173971892799","0.05746454088537982"
"neglect","neglect","9","1000","0.009","-0.4394605805615675","0.31037396665201566"
"marginalized","margin","9","1000","0.009","-0.36244558525430204","0.33164254204332916"
"homepage","homepag","9","1000","0.009","0.44937612933730275","-0.7300641558997348"
"government's","govern","9","1000","0.009","-0.37951004753184747","0.3568759403597453"
"demonstrations","demonstr","9","1000","0.009","-0.3864256959780598","0.5216226971713316"
"democratic","democrat","9","1000","0.009","-0.149931762385375","1.0287016485213356"
"coordination","coordin","9","1000","0.009","-0.3322142019029577","-0.13132752634984832"
"coalition","coalit","9","1000","0.009","-0.5204953383906091","0.5870970236504185"
"camps","camp","9","1000","0.009","-0.3017827154755155","0.43767396146541476"
"army","armi","9","1000","0.009","-0.056120800407351346","1.052354692409176"
"ambassador","ambassador","9","1000","0.009","-0.5549209324862356","0.2202093916142787"
"00:00","00:00","9","1000","0.009","",""
"weapons","weapon","8","1000","0.008","-0.41207229569605747","0.6795395472813733"
"washington","washington","8","1000","0.008","2.2574532317541944","-0.1074577044730238"
"wars","war","8","1000","0.008","0.1455160590692038","0.678908467631711"
"trump","trump","8","1000","0.008","-0.25357065286682184","-0.7259082339942782"
"terrorism","terror","8","1000","0.008","-0.23573413900587561","1.2298491614131661"
"studies","studi","8","1000","0.008","-0.2867737122234691","-0.31372737243249266"
"soldiers","soldier","8","1000","0.008","-0.3276940239692624","1.1116470329116352"
"reuters","reuter","8","1000","0.008","1.363185974196746","-0.07685135025846879"
"qatar","qatar","8","1000","0.008","0.841080510668271","-0.19076090304039617"
"perpetrators","perpetr","8","1000","0.008","-0.28373056996183293","1.1401162831150236"
"palestinians","palestinian","8","1000","0.008","1.1754245720338399","1.3249174450049028"
"olympics","olymp","8","1000","0.008","1.5708018598546123","-0.33759282217859193"
"notorious","notori","8","1000","0.008","-0.28014399927478845","-0.1659356049321445"
"nigeria","nigeria","8","1000","0.008","2.563771873914194","0.4717233378944925"
"liberation","liber","8","1000","0.008","0.13046682879600233","1.0160937671017196"
"israel","israel","8","1000","0.008","2.053813646738248","0.802007667151397"
"islamic","islam","8","1000","0.008","1.6079208119538893","0.6035286947475978"
"iran","iran","8","1000","0.008","2.0564963175742728","0.5777056025658107"
"global","global","8","1000","0.008","-0.14846703680517281","-0.4396367776775705"
"foundation","foundat","8","1000","0.008","-0.3985147988439765","-0.49050758174727116"
"election","elect","8","1000","0.008","-0.33912488386831646","0.4389335214839669"
"american","american","8","1000","0.008","1.9853844479715608","-0.2611343681912484"
"supporters","support","7","1000","0.007","-0.42654388669079873","0.15816993561580167"
"satellite","satellit","7","1000","0.007","-0.2641115522579521","-0.15655832101977807"
"repression","repress","7","1000","0.007","-0.303759805122757","1.400318729139159"
"negotiate","negoti","7","1000","0.007","-0.5616314296308739","-0.290472624090423"
"monitor","monitor","7","1000","0.007","-0.3287779803442589","-0.6041968047684654"
"mohamed","moham","7","1000","0.007","0.6906970205873888","-0.16667809233469086"
"initially","initi","7","1000","0.007","-0.5613840823773902","-0.42484217676030683"
"hassan","hassan","7","1000","0.007","0.7208558325209984","0.005272297487364681"
"george","georg","7","1000","0.007","2.2201964923243835","-0.45367224645503335"
