term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"violence","violenc","361","1000","0.361","-0.6624090831010702","1.379249796411286"
"kenya","kenya","308","1000","0.308","1.6104711945202552","0.22076896954056713"
"kenyan","kenyan","98","1000","0.098","0.6448804829663951","0.13715354004724628"
"sudan","sudan","87","1000","0.087","1.2686440543494555","0.31750467707740704"
"election","elect","55","1000","0.055","-0.403669753930166","0.5414466703605284"
"nairobi","nairobi","53","1000","0.053","0.34296243208835403","-0.22943229659693537"
"ethnic","ethnic","47","1000","0.047","-0.2774650093547724","0.8258652297053904"
"africa","africa","47","1000","0.047","2.1754616661192085","0.19396520081377383"
"kenyatta","kenyatta","46","1000","0.046","",""
"refugee","refuge","45","1000","0.045","-0.2442809512202783","0.8506669753716793"
"conflicts","conflict","45","1000","0.045","-0.5820024203963486","0.4152143507901402"
"obama","obama","43","1000","0.043","2.643957837692455","0.32820626983885803"
"african","african","41","1000","0.041","1.924051567910048","0.061119020380334586"
"united","unit","40","1000","0.04","-0.12303899855473027","0.02262281042723218"
"somalia","somalia","37","1000","0.037","1.1386454041466503","0.590690866344885"
"nations","nation","33","1000","0.033","-0.1144805518054043","0.48968443715226934"
"uganda","uganda","26","1000","0.026","0.7067337568011959","-0.0011724592808688226"
"uhuru","uhuru","25","1000","0.025","0.13774729941177907","0.11456309538528148"
"crisis","crisi","25","1000","0.025","-0.44670930687436816","0.30976769971697826"
"armed","arm","25","1000","0.025","-0.3990355678837877","0.4542942646119863"
"democratic","democrat","24","1000","0.024","-0.20836631324320518","1.0851974639996267"
"rebels","rebel","23","1000","0.023","-0.430594393660122","1.804126165560989"
"victims","victim","21","1000","0.021","-0.4531008733980786","0.3454251266531616"
"somali","somali","21","1000","0.021","0.8491465590091892","0.4642483819733949"
"muslim","muslim","20","1000","0.02","1.4122736700075806","0.9831171893332346"
"ethiopia","ethiopia","20","1000","0.02","1.2336499359780735","0.304619189772197"
"children","children","20","1000","0.02","-0.35772685589689085","0.17179271583654437"
"terrorism","terror","18","1000","0.018","-0.29580141285319667","1.4101409244789938"
"american","american","18","1000","0.018","2.0207412942458802","-0.1929546528338144"
"country's","countri","17","1000","0.017","0.5639400061424771","0.02013130602842684"
"civilians","civilian","17","1000","0.017","-0.6084414034018552","1.636244756911971"
"terrorist","terrorist","16","1000","0.016","-0.244922337742397","1.408443195140869"
"violent","violent","15","1000","0.015","-0.5301241079696442","0.6022759516066971"
"pope","pope","15","1000","0.015","-0.20079731892657693","0.714269024046212"
"resolve","resolv","14","1000","0.014","-0.7136126854229385","-0.36999480087581116"
"protesters","protest","14","1000","0.014","-0.3752252900740199","0.878260222395757"
"minister","minist","14","1000","0.014","-0.3291564401916635","0.4025834657919697"
"independence","independ","14","1000","0.014","-0.19436197473344347","0.599394740929724"
"icc","icc","14","1000","0.014","0.8387291017662727","-0.09026589805506155"
"humanitarian","humanitarian","14","1000","0.014","-0.4992919171677199","0.9935958323767038"
"global","global","14","1000","0.014","-0.14130348725969571","-0.44288934276944303"
"escalating","escal","14","1000","0.014","-0.6417025492865686","-0.13908720044746595"
"displaced","displac","14","1000","0.014","-0.5883620120086499","0.3471472467793544"
"criminal","crimin","14","1000","0.014","-0.5056007011048861","0.4423615848595808"
"clinton","clinton","14","1000","0.014","2.26539080737306","0.20762332885517104"
"trump","trump","13","1000","0.013","-0.16292174002509255","-0.7881541245929223"
"syria","syria","13","1000","0.013","1.3549706362009843","0.6151537683783503"
"deputy","deputi","13","1000","0.013","-0.3279303589872541","-0.1889871969415655"
"congo","congo","13","1000","0.013","0.9457275262343201","0.12236239932850869"
"rape","rape","12","1000","0.012","-0.3137430524813849","0.7123967599860492"
"francis","franci","12","1000","0.012","1.4835214828825884","-0.3913635302570789"
"flee","flee","12","1000","0.012","-0.560476233059891","0.39758172449987256"
"electoral","elector","12","1000","0.012","-0.30842553912812093","0.9016813652847245"
"disputed","disput","12","1000","0.012","-0.6652967343753687","-0.11722246728495057"
"bombings","bomb","12","1000","0.012","-0.541062770959672","1.5986550894449314"
"america","america","12","1000","0.012","2.3603011436791785","-0.04074804290583247"
"world's","world","11","1000","0.011","0.030993629040660917","-0.3692791765389615"
"western","western","11","1000","0.011","-0.15888519240630508","-0.03295446831251052"
"tribal","tribal","11","1000","0.011","-0.15431912902504596","0.7650685523056341"
"sustainable","sustain","11","1000","0.011","-0.300229029647755","-0.380334999710317"
"rwanda","rwanda","11","1000","0.011","",""
"presidential","presidenti","11","1000","0.011","-0.22188067300289463","0.48060920354869036"
"media","media","11","1000","0.011","-0.18383676331367155","-0.13771445827639586"
"islamic","islam","11","1000","0.011","1.5592794580542806","0.753236711473234"
"economic","econom","11","1000","0.011","-0.37047819638377727","-0.02269494980485624"
"deadly","dead","11","1000","0.011","-0.4142919613145941","0.12224760335974631"
"crimes","crime","11","1000","0.011","-0.39140739459988605","1.0504812113774622"
"corruption","corrupt","11","1000","0.011","-0.3471964750595841","0.8264849194488871"
"burundi","burundi","11","1000","0.011","",""
"al-shabab","al-shabab","11","1000","0.011","",""
"soldiers","soldier","10","1000","0.01","-0.3892355382668668","0.99695690070099"
"mohammed","moham","10","1000","0.01","1.400503110551186","0.42927056082754256"
"militants","milit","10","1000","0.01","-0.5258861584864738","1.9011566933327204"
"libya","libya","10","1000","0.01","1.4506886323946417","0.7622362419902924"
"islamist","islamist","10","1000","0.01","0.8007235892570279","1.0152302364176284"
"iraq","iraq","10","1000","0.01","2.0673669121167015","0.6916647020028315"
"fighters","fighter","10","1000","0.01","-0.12231310786182673","0.8208230911508155"
"erupted","erupt","10","1000","0.01","-0.5821780233112082","-0.3613919162000941"
"campaign","campaign","10","1000","0.01","-0.45440784230310005","-0.08703238289300975"
"youth","youth","9","1000","0.009","-0.2840448163404542","0.017044434504105685"
"university","univers","9","1000","0.009","-0.2610839619117455","-0.028204818005304635"
"tanzania","tanzania","9","1000","0.009","",""
"supporters","support","9","1000","0.009","-0.4521588004540381","0.09930806216967625"
"stability","stabil","9","1000","0.009","-0.4267697098770274","-0.11310750124217182"
"spokesman","spokesman","9","1000","0.009","-0.9919208718280464","-0.4584267497471105"
"ruto","ruto","9","1000","0.009","",""
"recruitment","recruit","9","1000","0.009","-0.3518081905849774","-0.015909349232506923"
"palestinians","palestinian","9","1000","0.009","1.1066197133617337","1.2197534402246062"
"northern","northern","9","1000","0.009","-0.2926078393304674","-0.048995892105876335"
"israel","israel","9","1000","0.009","2.056466502728218","0.7981160208005079"
"embassies","embassi","9","1000","0.009","-0.2877052037177481","1.1752062253884366"
"education","educ","9","1000","0.009","-0.18729980403633217","-0.11058505931610439"
"barack","barack","9","1000","0.009","1.0496410501314868","-0.19884864694291876"
"army","armi","9","1000","0.009","-0.10212354787305453","0.9460616582454701"
"abuse","abus","9","1000","0.009","-0.340312822090682","0.3566019589323685"
"william","william","8","1000","0.008","2.346302121648852","-0.45616146132644353"
"targets","target","8","1000","0.008","-0.44617377949767634","-0.39417865843029215"
"survivors","survivor","8","1000","0.008","-0.43648669462146766","0.33188652567085597"
"russia","russia","8","1000","0.008","2.1426662585336924","0.2648506121254048"
"radical","radic","8","1000","0.008","-0.3209582646704932","0.27429452323480236"
"peacekeeping","peacekeep","8","1000","0.008","-0.29692175239872165","1.3625979695370196"
"odinga","odinga","8","1000","0.008","",""
"leader","leader","8","1000","0.008","-0.430061358258591","-0.27623495430617695"
"juba","juba","8","1000","0.008","0.03155377907890837","-0.025894842745245724"
