term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"algeria","algeria","230","1000","0.23","",""
"violence","violenc","199","1000","0.199","-0.6346477063420234","1.1046842964654469"
"african","african","115","1000","0.115","2.0092744295435168","-0.07628244456167159"
"algerian","algerian","94","1000","0.094","",""
"france","franc","62","1000","0.062","2.1974268960213617","-0.2070684313212391"
"french","french","61","1000","0.061","1.8485811595951112","-0.3947432929204686"
"libya","libya","59","1000","0.059","1.4057308843151683","0.764934395676076"
"republican","republican","50","1000","0.05","0.5222066600813954","0.6907684721258984"
"mali","mali","48","1000","0.048","1.1607997722347703","-0.016060201506014497"
"africa","africa","47","1000","0.047","2.2043527320603626","0.09977960342617212"
"arab","arab","42","1000","0.042","1.7269142611224688","0.4059001350143571"
"terror","terror","38","1000","0.038","-0.19620658782196876","1.3347310203742337"
"islamic","islam","37","1000","0.037","1.5595901054166432","0.7508367102003548"
"armed","arm","36","1000","0.036","-0.45091676139326436","0.5203711346700217"
"united","unit","35","1000","0.035","-0.18157568723058873","0.055590381863225076"
"nations","nation","34","1000","0.034","-0.13075647347184186","0.5391151116488442"
"muslim","muslim","34","1000","0.034","1.4028405497292746","0.9489690899097482"
"western","western","31","1000","0.031","-0.14442214129436412","-0.12617558852445518"
"militants","milit","31","1000","0.031","-0.5478658243704854","2.1177257967584113"
"conflicts","conflict","30","1000","0.03","-0.6097509481840598","0.38638211254370536"
"terrorist","terrorist","29","1000","0.029","-0.2810215557960841","1.4508227055916234"
"syria","syria","28","1000","0.028","1.356961547892244","0.6282467309255426"
"ivory","ivori","28","1000","0.028","0.10425813190752252","0.22715451600666284"
"egypt","egypt","28","1000","0.028","1.8097233048534456","0.3365107174683194"
"qaeda","qaeda","26","1000","0.026","0.04437331640528354","-0.11667460726727014"
"syrian","syrian","25","1000","0.025","0.7184676664825509","0.1740941077730297"
"rebels","rebel","25","1000","0.025","-0.473714168045634","2.0103014926877796"
"paris","pari","25","1000","0.025","1.9409819071198076","-0.2677147574763134"
"obama","obama","25","1000","0.025","2.457153884047186","0.22906774840991442"
"israel","israel","25","1000","0.025","2.0286562153903964","0.8312563175135795"
"islamist","islamist","25","1000","0.025","0.8118820904643436","1.0401454069916767"
"tunisia","tunisia","24","1000","0.024","",""
"democratic","democrat","24","1000","0.024","-0.2555079502934739","1.1959793430351375"
"american","american","22","1000","0.022","2.021464219528695","-0.2595236750925547"
"territory","territori","21","1000","0.021","-0.5183232406204031","0.025459490791350223"
"iraq","iraq","21","1000","0.021","2.002226672085546","0.7144710468547463"
"morocco","morocco","20","1000","0.02","0.8715906684061885","0.08899528511903657"
"jihadist","jihadist","20","1000","0.02","0.09994280579290878","1.4831410842458288"
"country's","countri","20","1000","0.02","0.5950423057421428","0.002129208962719865"
"elections","elect","19","1000","0.019","-0.3987695540649192","0.9102141251212257"
"southern","southern","18","1000","0.018","-0.32713114855196607","-0.07744107706379526"
"minister","minist","18","1000","0.018","-0.3940429545088835","0.36699973085637694"
"libyan","libyan","18","1000","0.018","0.5849121382817251","0.24382501280816496"
"crisis","crisi","18","1000","0.018","-0.45762000182739604","0.2593074157804748"
"violent","violent","16","1000","0.016","-0.5224725972260622","0.4462772810756807"
"sudan","sudan","16","1000","0.016","1.2975730518143258","0.23640363913718115"
"sahara","sahara","16","1000","0.016","0.743720127053057","-0.09937097703400581"
"independence","independ","16","1000","0.016","-0.2615672141440417","0.6329696433893444"
"congo","congo","16","1000","0.016","0.9155990312184324","0.014243491295792436"
"chad","chad","16","1000","0.016","1.3602682742448768","-0.07151804168095059"
"army","armi","16","1000","0.016","-0.13947161664809246","1.0328988687888527"
"hostages","hostag","15","1000","0.015","-0.6056366581208091","1.463502742378761"
"radical","radic","14","1000","0.014","-0.41323076797611696","0.28658324072724306"
"gbagbo","gbagbo","14","1000","0.014","",""
"european","european","14","1000","0.014","2.0577126038977833","-0.3600418499569527"
"ambassador","ambassador","14","1000","0.014","-0.6808970837105461","0.15897727903523437"
"algiers","algier","14","1000","0.014","",""
