term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"violence","violenc","54","1000","0.054","-0.31734141978064423","1.4304493828930185"
"somalia","somalia","38","1000","0.038","1.3368434421465196","0.353195770332963"
"libya","libya","37","1000","0.037","1.653657362763268","0.5689992358556907"
"united","unit","34","1000","0.034","-0.15373852606446645","-0.04280900841715154"
"ethiopia","ethiopia","33","1000","0.033","1.366060934984547","-0.008607209145876088"
"egypt","egypt","33","1000","0.033","1.943105012222066","0.024890722661082176"
"kenya","kenya","31","1000","0.031","1.7013556515239643","-0.17418827708460696"
"djibouti","djibouti","29","1000","0.029","",""
"armed","arm","21","1000","0.021","-0.25393565591608913","0.5247031646166644"
"protests","protest","19","1000","0.019","-0.4272504561417978","1.013506468529517"
"ethiopian","ethiopian","17","1000","0.017","0.7172812368272972","-0.0065015876521759"
"sharif","sharif","13","1000","0.013","0.9543751855849661","-0.0768542948544527"
"demonstrators","demonstr","13","1000","0.013","-0.12651597929912453","1.0074050975924853"
"africa","africa","13","1000","0.013","2.2533713477049044","-0.16528132115611052"
"tunisia","tunisia","12","1000","0.012","",""
"libyan","libyan","12","1000","0.012","0.7242986031238419","0.10267821813439033"
"independence","independ","12","1000","0.012","-0.09355479214311503","0.6421839157691411"
"election","elect","12","1000","0.012","-0.2936196724038294","0.5275928087445135"
"nations","nation","11","1000","0.011","0.06171924002833591","0.6868362591421572"
"eritrea","eritrea","11","1000","0.011","",""
"clinton","clinton","11","1000","0.011","2.2424088529709683","-0.3018286795900809"
"american","american","11","1000","0.011","1.9734611681517258","-0.6783519617601557"
"foundation","foundat","10","1000","0.01","-0.41446774786732254","-0.3996662111469551"
"bombings","bomb","10","1000","0.01","-0.21634801750646235","1.54856910517795"
"sudan","sudan","9","1000","0.009","1.4026958091125414","0.11535366686776871"
"somaliland","somaliland","9","1000","0.009","",""
"somali","somali","9","1000","0.009","1.0307501062562794","0.19284697362412456"
"yemen","yemen","8","1000","0.008","0.9133458832106623","0.06894525268758657"
"leader","leader","8","1000","0.008","-0.43396705204355085","-0.19950816562162046"
"conflicts","conflict","8","1000","0.008","-0.46487133642629863","0.6384403982406975"
"uic","uic","7","1000","0.007","",""
"strengthen","strengthen","7","1000","0.007","-0.6468958403809492","-0.5430608912089893"
"peacekeeping","peacekeep","7","1000","0.007","-0.010590852574534048","1.5232314158176579"
"humanitarian","humanitarian","7","1000","0.007","-0.21225688096523665","1.1889893058840402"
"horn","horn","7","1000","0.007","0.07308101193433392","-0.29977599160655954"
"hammami","hammami","7","1000","0.007","",""
"civilians","civilian","7","1000","0.007","-0.1873485116408219","1.6820075390120512"
"bahrain","bahrain","7","1000","0.007","1.2691795714574807","-0.32329499047359983"
"african","african","7","1000","0.007","2.019501215423078","-0.35660654379477047"
"sanctions","sanction","6","1000","0.006","-0.37506423365452585","0.9881437141002276"
"palestinian","palestinian","6","1000","0.006","1.4627136415597681","0.5060348864493543"
"nato","nato","6","1000","0.006","1.4613283638883683","0.5114765414035143"
"muslim","muslim","6","1000","0.006","1.73588429586543","0.3872092210652416"
"kenyan","kenyan","6","1000","0.006","0.7550584544040017","-0.09580958566200092"
"italian","italian","6","1000","0.006","1.7958192125268528","-0.8177983442974255"
"islamist","islamist","6","1000","0.006","1.1181937747975477","0.7171540663044519"
"icc","icc","6","1000","0.006","0.9015708845202995","-0.26041493874654886"
"economy","economi","6","1000","0.006","-0.2767819644584861","0.3148385539817604"
"economic","econom","6","1000","0.006","-0.29747632122774753","0.17475386112701127"
"eastern","eastern","6","1000","0.006","-0.08011546212792492","-0.007024154678899665"
"democratic","democrat","6","1000","0.006","0.05607389562935903","1.1147578882962326"
"ali","ali","6","1000","0.006","2.004139139275137","-0.33448865186188287"
"afghanistan","afghanistan","6","1000","0.006","1.950620548841599","0.4565093200491904"
"syria","syria","5","1000","0.005","1.5561070209706929","0.38581972114494145"
"shabab","shabab","5","1000","0.005","0.4180597101797664","0.3441110678975115"
"presidential","presidenti","5","1000","0.005","-0.054862375308399346","0.49118572240604597"
"president-elect","president-elect","5","1000","0.005","",""
"partners","partner","5","1000","0.005","-0.4696060879019822","-0.35264117347268636"
"obama","obama","5","1000","0.005","2.6642205198627757","-0.291397392036616"
"mubarak","mubarak","5","1000","0.005","1.238077391622295","0.1800502502251102"
"mogadishu","mogadishu","5","1000","0.005","",""
"mandates","mandat","5","1000","0.005","-0.2488251650730135","-0.06362135307918637"
"israel","israel","5","1000","0.005","2.280527295243233","0.44414209330847587"
"islamic","islam","5","1000","0.005","1.830997110497816","0.2195146698920397"
"iran","iran","5","1000","0.005","2.2414293162574017","0.24709820720087017"
"invaded","invad","5","1000","0.005","-0.037907866884866456","0.07316832745660604"
"embassies","embassi","5","1000","0.005","0.04013777274519081","1.1588517899061583"
"crimes","crime","5","1000","0.005","-0.1995649871309658","0.9529828694748075"
"chaos","chao","5","1000","0.005","-0.21994147239760412","0.6728895652155448"
"calling","call","5","1000","0.005","-0.0890038079210732","-0.4963477943523968"
