term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"000z","000z","167","1000","0.167","",""
"homepage","homepag","158","1000","0.158","0.23072947585592385","-0.5080514519573657"
"00:00","00:00","158","1000","0.158","",""
"2016-04-","2016-04-","127","1000","0.127","",""
"africa","africa","77","1000","0.077","1.978076272397362","0.6906765960466387"
"mozambique","mozambiqu","65","1000","0.065","",""
"african","african","58","1000","0.058","1.7100651454716222","0.33607387132369665"
"violence","violenc","55","1000","0.055","-0.8528256775444708","1.3957177650387205"
"coronavirus","coronavirus","55","1000","0.055","-0.5104383600972111","0.017703738051095368"
"trump","trump","40","1000","0.04","-0.2978798150096814","-0.5944127171195204"
"2020-05-","2020-05-","34","1000","0.034","",""
"united","unit","29","1000","0.029","-0.3533673069145231","0.16277725851551225"
"zimbabwe","zimbabw","27","1000","0.027","1.2968406532047243","0.4269621542673688"
"democratic","democrat","26","1000","0.026","-0.46223562875532126","1.22905852490195"
"donald","donald","24","1000","0.024","1.349231225461706","-0.44692710283660014"
"nations","nation","23","1000","0.023","-0.4403313093219204","0.6707866952062638"
"children","children","23","1000","0.023","-0.6512419003502233","0.177117534165404"
"lion","lion","22","1000","0.022","-0.2963314443603351","-0.3579033948457298"
"2020-04-","2020-04-","22","1000","0.022","",""
"mandela","mandela","21","1000","0.021","",""
"global","global","21","1000","0.021","-0.38345600766895116","-0.08707905000519714"
"nominee","nomine","20","1000","0.02","-0.6731182780017511","-0.040475968147411"
"minister","minist","20","1000","0.02","-0.6392721925704278","0.5456002923397171"
"elections","elect","20","1000","0.02","-0.5353002522619997","1.0857498928465394"
"economic","econom","20","1000","0.02","-0.606631692826992","0.2546524768310378"
"2020-06-","2020-06-","20","1000","0.02","",""
"mugabe","mugab","19","1000","0.019","0.6843986803185318","0.6304953091908906"
"islamic","islam","17","1000","0.017","1.2635561661732324","1.022171892703769"
"clinton","clinton","17","1000","0.017","2.032386823369242","0.5139043874417079"
"american","american","17","1000","0.017","1.8470593514788478","0.06306031663108258"
"t22","t22","16","1000","0.016","",""
"lockdown","lockdown","16","1000","0.016","-0.6710975138362855","0.038626485114370036"
"education","educ","16","1000","0.016","-0.4193730152836179","0.053901073648077606"
"university","univers","15","1000","0.015","-0.492616872507113","-0.04146656312232982"
"southern","southern","15","1000","0.015","-0.5111493860545965","0.05147099618108939"
"pandemic","pandem","15","1000","0.015","-0.7746613470258901","1.0150362042545535"
"insurgency","insurg","15","1000","0.015","-0.7448338277577398","2.285674479941546"
"campaign","campaign","15","1000","0.015","-0.6837765997835881","0.01055706123593206"
"armed","arm","15","1000","0.015","-0.6045408502705536","0.43808473089448335"
"sanders","sander","14","1000","0.014","0.34541794465800996","-0.273371654867469"
"crisis","crisi","14","1000","0.014","-0.7082846280098021","0.6654453323953153"
"country's","countri","14","1000","0.014","0.3041188926067408","0.3151992773023473"
"t17","t17","13","1000","0.013","",""
"sudan","sudan","13","1000","0.013","1.0394550843465484","0.682978320469111"
"presidential","presidenti","13","1000","0.013","-0.4833794227628653","0.5780730740020174"
"park","park","13","1000","0.013","-0.46791307022273143","-0.4274304655452358"
"chris","chris","13","1000","0.013","2.1174097948240833","-0.10115846764467956"
"broadcast","broadcast","13","1000","0.013","-0.5713541722218632","-0.30587927245599467"
"bernie","berni","13","1000","0.013","1.070393194681541","-0.0986391919852199"
"tso","tso","12","1000","0.012","0.1068031993371094","-0.22356836552040749"
"t23","t23","12","1000","0.012","",""
"protesters","protest","12","1000","0.012","-0.6331463565910329","0.8529588285398356"
"india","india","12","1000","0.012","2.1174858514520327","0.41341774446620944"
"gloria","gloria","12","1000","0.012","1.1040612323206727","-0.09447693489336692"
"extremists","extremist","12","1000","0.012","-0.5756334270025437","1.655708872459265"
"europe","europ","12","1000","0.012","2.0801912889051972","0.15827727871796926"
"child","child","12","1000","0.012","-0.5362506046992909","0.1473315240227967"
"agreement","agreement","12","1000","0.012","-0.7586858533489774","-0.18578435204174032"
"washington","washington","11","1000","0.011","2.1459043068703014","0.3159093888382422"
"t00","t00","11","1000","0.011","",""
"scientists","scientist","11","1000","0.011","-0.5633241554986722","0.0010687451516841514"
"impacts","impact","11","1000","0.011","-0.5174498732269838","-0.42021387481070327"
"humanitarian","humanitarian","11","1000","0.011","-0.8627978601305928","1.104423890264255"
"francis","franci","11","1000","0.011","1.2950029816176019","-0.34472488698901665"
"elephants","eleph","11","1000","0.011","-0.5587890737053443","0.3209027434667447"
"dignam","dignam","11","1000","0.011","",""
"criminal","crimin","11","1000","0.011","-0.6881610304514009","0.43610070341006946"
"targeted","target","10","1000","0.01","-0.5489113663248125","-0.3519405471031976"
"renamo","renamo","10","1000","0.01","",""
"nbc","nbc","10","1000","0.01","2.0368360983646077","0.25126723825885827"
"leader","leader","10","1000","0.01","-0.6350447193642063","-0.1946466407132299"
"israeli","isra","10","1000","0.01","1.4957898136223695","0.8805367816159955"
"economy","economi","10","1000","0.01","-0.616099014735922","0.3163853700680796"
"displaced","displac","10","1000","0.01","-0.7906652615174492","0.46485357094972957"
"climate","climat","10","1000","0.01","-0.4519960266865406","0.16302275138359396"
"china","china","10","1000","0.01","0.6662154595058744","-0.18937951939086825"
"america","america","10","1000","0.01","2.184203381593385","0.38399755805821734"
"youth","youth","9","1000","0.009","-0.5290619373839003","-0.0005129285500551929"
"world's","world","9","1000","0.009","-0.25383459096607297","-0.3624382779956753"
"warming","warm","9","1000","0.009","-0.5451801260199703","-0.23191966426199534"
"victims","victim","9","1000","0.009","-0.6629218599371394","0.3299071408791293"
"talks","talk","9","1000","0.009","-0.7691370414162135","-0.08703198292731612"
"syria","syria","9","1000","0.009","1.0821737101105833","0.8999747605573778"
"rebels","rebel","9","1000","0.009","-0.6845913262136055","1.7623628694176725"
"nkoloso","nkoloso","9","1000","0.009","",""
"media","media","9","1000","0.009","-0.3699557916027849","-0.059704829708012795"
"investigators","investig","9","1000","0.009","-0.8903878565159432","-0.16899128872666583"
"intelligence","intellig","9","1000","0.009","-0.5997424272358363","0.6083745739070595"
"independence","independ","9","1000","0.009","-0.4349362271055391","0.7146279002126777"
"hillary","hillari","9","1000","0.009","1.7052034627950896","0.45766687480638024"
"freedom","freedom","9","1000","0.009","-0.3309922125378018","0.4370269168229022"
"floods","flood","9","1000","0.009","-0.547537466035813","0.6030473065809828"
"delgado","delgado","9","1000","0.009","",""
"crimes","crime","9","1000","0.009","-0.620499212287016","1.021220945399159"
"corruption","corrupt","9","1000","0.009","-0.506749522833934","1.0745637173615512"
"celebrate","celebr","9","1000","0.009","-0.5332950667304444","-0.646193354373956"
"cabo","cabo","9","1000","0.009","0.5961520375524061","-0.25354303419360325"
"bangladesh","bangladesh","9","1000","0.009","1.2840524428305953","0.4964545234390452"
"allegedly","alleg","9","1000","0.009","-0.49782325111282166","-0.1849804338278269"
"terrorism","terror","8","1000","0.008","-0.6143518195327413","1.5456475424272866"
"t16","t16","8","1000","0.008","",""
"northern","northern","8","1000","0.008","-0.4734589243752244","-0.005279559489405939"
"masks","mask","8","1000","0.008","-0.4989158604328189","-0.10589442374701177"
"korea's","korea","8","1000","0.008","",""
"george","georg","8","1000","0.008","2.1344580070281562","-0.283883735030176"
"families","famili","8","1000","0.008","-0.7275690513203483","0.14340491445601683"
"district","district","8","1000","0.008","-0.5389416756919024","-0.05044129600595535"
"demonstrators","demonstr","8","1000","0.008","-0.5961594974042037","0.9436359296988313"
"congo","congo","8","1000","0.008","0.7241475258414997","0.1233113849876731"
"conflicts","conflict","8","1000","0.008","-0.7502152468276062","0.5904496043844581"
"challenges","challeng","8","1000","0.008","-0.8852726140451168","-0.2629316821629058"
"california","california","8","1000","0.008","2.3974458484174717","0.04255154363263931"
"cable","cabl","8","1000","0.008","-0.4014583175549207","-0.2744342190294947"
"abuse","abus","8","1000","0.008","-0.5042471310269148","0.4931949696255248"
"2020-02-","2020-02-","8","1000","0.008","",""
"zacarias","zacaria","7","1000","0.007","",""
"weapons","weapon","7","1000","0.007","-0.743344270191274","0.5514527558347855"
"violent","violent","7","1000","0.007","-0.6690446891128868","0.5434438564976076"
"unicef","unicef","7","1000","0.007","0.0866213423943008","-0.0442044560968874"
"t15","t15","7","1000","0.007","",""
"russian","russian","7","1000","0.007","1.9740902718222335","0.023477761024810046"
"province","provinc","7","1000","0.007","-0.43362144706626465","0.3173241020139865"
"obama","obama","7","1000","0.007","2.369227910393564","0.7573122580418651"
"night's","night","7","1000","0.007","-0.4154366512189158","-0.44663044457151796"
"nigeria","nigeria","7","1000","0.007","2.3352030760852","0.865827624857129"
"maputo","maputo","7","1000","0.007","",""
"maasai","maasai","7","1000","0.007","",""
"leela","leela","7","1000","0.007","0.08978519957728331","-0.10572054453022134"
"journalists","journalist","7","1000","0.007","-0.5174603990230581","0.6171393621057348"
"islamist","islamist","7","1000","0.007","0.5332787826474961","1.0757259167373239"
"iraq","iraq","7","1000","0.007","1.7614460229502746","1.0611002078989356"
"hurt","hurt","7","1000","0.007","-0.555292599411638","-0.535098434756347"
"hospital","hospit","7","1000","0.007","-0.5819376902811552","-0.0564974874387148"
"haram","haram","7","1000","0.007","0.34065505251751016","0.5376229483597643"
"guardian","guardian","7","1000","0.007","-0.23012904700243964","-0.1773132722908728"
"governance","govern","7","1000","0.007","-0.3816156137033796","0.49481584584708516"
"gorongosa","gorongosa","7","1000","0.007","",""
"fred","fred","7","1000","0.007","1.9299706787480087","-0.2365160821338532"
"focused","focus","7","1000","0.007","-0.6830170113519894","-0.6433658034622172"
"deaths","death","7","1000","0.007","-0.715418220648837","0.6063558380058792"
"cooper","cooper","7","1000","0.007","0.9807073443066042","-0.5092572171817702"
"constitution","constitut","7","1000","0.007","-0.3713506061862459","1.110957330095591"
"coalition","coalit","7","1000","0.007","-0.7963913398039159","0.6576513090043804"
"boko","boko","7","1000","0.007","",""
"apartheid","apartheid","7","1000","0.007","-0.2557797498965148","1.2558882685180144"
"zimbabweans","zimbabwean","6","1000","0.006","",""
"unemployment","unemploy","6","1000","0.006","-0.7177900655213569","0.8287059529808904"
"tribunal","tribun","6","1000","0.006","-0.744771847885069","0.4955307779892683"
"t19","t19","6","1000","0.006","",""
"t14","t14","6","1000","0.006","",""
"supreme","suprem","6","1000","0.006","-0.12620585020614333","-0.20027162509677113"
