,cnn,bbc,nbc,fox,aljazeera,wp,newyorker,newyorker_2,newyorker_3,newyorker_4,newyorker_5,newyorker_6,newyorker_7,newyorker_8,newyorker_9,newyorker_10,newyorker_11,newyorker_12,newyorker_13,newyorker_14,newyorker_15,newyorker_16,newyorker_17,newyorker_18,newyorker_19,newyorker_20,newyorker_21,newyorker_22,newyorker_23,newyorker_24,newyorker_25,newyorker_26,newyorker_27,newyorker_28,newyorker_29,newyorker_30,newyorker_31,newyorker_32,newyorker_33,newyorker_34,newyorker_35,newyorker_36,newyorker_37,newyorker_38
0,https://www.cnn.com/interactive/2020/weather/gonzalo-storm-path-tracker/index.html,https://www.bbc.com/news/live/world-africa-62845605,https://www.nbcnews.com/climate-in-crisis,https://www.foxnews.comhttps://www.factset.com/,https://www.aljazeera.com/news/2022/11/22/sahel-conflict-could-engulf-west-africa-ghana-president,https://www.washingtonpost.com/world/2022/11/17/slave-ship-wrecks-smithsonian-senegal/,https://www.newyorker.com/magazine/2022/10/24/a-nobel-laureate-revisits-the-great-wars-african-front,https://www.newyorker.com/contributors/kristen-roupenian,https://www.newyorker.com/contributors/jina-moore,https://www.newyorker.com/contributors/nicolas-niarchos,https://www.newyorker.com/magazine/2017/12/04/lake-chad-the-worlds-most-complex-humanitarian-disaster,https://www.newyorker.com/news/daily-comment/donald-trump-lost-in-africa,https://www.newyorker.com/contributors/michael-schulman,https://www.newyorker.com/contributors/kerry-howley,https://www.newyorker.com/culture/photo-booth/nothing-but-pictures-alex-majoli-and-paolo-pellegrins-congo,https://www.newyorker.com/magazine/2012/03/05/disarming-viktor-bout,https://www.newyorker.com/magazine/2013/11/25/kilifi-creek,https://www.newyorker.com/contributors/jessie-wender,https://www.newyorker.com/magazine/2012/03/05/haven-alice-munro,https://www.newyorker.com/magazine/2011/07/25/a-black-history-of-the-english-speaking-peoples,https://www.newyorker.com/contributors/rollo-romig,https://www.newyorker.com/books/page-turner/the-exchange-eliza-griswold,https://www.newyorker.com/magazine/2010/04/05/telling-it-like-it-isnt-2,https://www.newyorker.com/contributors/steve-coll,https://www.newyorker.com/magazine/2008/11/10/texting-economics,https://www.newyorker.com/magazine/2007/03/12/the-denialists,https://www.newyorker.com/magazine/2006/02/13/the-believer-2,https://www.newyorker.com/magazine/2003/07/14/africa-calling,https://www.newyorker.com/magazine/2002/10/07/our-new-best-friend,https://www.newyorker.com/magazine/2000/12/25/the-constant-muse,https://www.newyorker.com/magazine/1999/08/23/addicted-to-flesh,https://www.newyorker.com/magazine/1998/09/07/the-unimagined,https://www.newyorker.com/magazine/1998/03/16/jungle-book,https://www.newyorker.com/magazine/1997/01/20,https://www.newyorker.com/magazine/1995/06/26/to-a-young-writer,https://www.newyorker.com/magazine/1994/03/14/way-down-deep-in-the-jungle,https://www.newyorker.com/magazine/1989/03/13,https://www.newyorker.com/magazine/1984/05/07/near-pala,https://www.newyorker.com/magazine/1978/10/30/comment-5799,https://www.newyorker.com/magazine/1973/06/09/troy-street,https://www.newyorker.com/magazine/1968/08/10/stories-of-africa,https://www.newyorker.com/magazine/1965/05/29/1965-05-29-020-tny-cards-000276418,https://www.newyorker.com/magazine/1955/01/29/dr-perelman-i-presume-or-snail-bore-in-africa-against-the-grain-with-charlene-bozeman,https://www.newyorker.com/magazine/1946/11/16/village-incident
1,https://www.cnn.com/2022/11/22/africa/king-charles-hosts-ramaphosa-intl/index.html,https://www.bbc.com/news/world-africa-63704004,https://www.nbcnews.com/news/world/climate-reparations-cop27-what-it-means-rcna49105,https://www.foxnews.comhttps://www.factset.com/solutions/business-needs/digital-solutions,https://www.aljazeera.com/news/2022/11/22/king-charles-hosts-south-africas-ramaphosa-for-first-state-visit,https://www.washingtonpost.com/people/rachel-chason/,https://www.newyorker.com/magazine/2022/10/24/a-nobel-laureate-revisits-the-great-wars-african-front,https://www.newyorker.com/culture/photo-booth,https://www.newyorker.com/magazine/a-reporter-at-large,https://www.newyorker.com/magazine/portfolio,https://www.newyorker.com/contributors/ben-taub,https://www.newyorker.com/contributors/alexis-okeowo,https://www.newyorker.com/culture/photo-booth,https://www.newyorker.com/business/currency,https://www.newyorker.com/contributors/philip-gourevitch,https://www.newyorker.com/magazine/2012/03/05/disarming-viktor-bout,https://www.newyorker.com/contributors/lionel-shriver,https://www.newyorker.com/magazine/annals-of-style,https://www.newyorker.com/contributors/alice-munro,https://www.newyorker.com/contributors/daljit-nagra,https://www.newyorker.com/news/news-desk,https://www.newyorker.com/contributors/alexis-okeowo,https://www.newyorker.com/magazine/2010/04/05/telling-it-like-it-isnt-2,https://www.newyorker.com/magazine/a-reporter-at-large,https://www.newyorker.com/magazine/the-mail,https://www.newyorker.com/magazine/2007/03/12/the-denialists,https://www.newyorker.com/magazine/2006/02/13/the-believer-2,https://www.newyorker.com/magazine/2003/07/14/africa-calling,https://www.newyorker.com/magazine/2002/10/07/our-new-best-friend,https://www.newyorker.com/magazine/2000/12/25/the-constant-muse,https://www.newyorker.com/contributors/norman-lewis,https://www.newyorker.com/contributors/philip-gourevitch,https://www.newyorker.com/magazine/1998/03/16/jungle-book,https://www.newyorker.com/magazine/1997/01/20/the-return-7,https://www.newyorker.com/magazine/1995/06/26/to-a-young-writer,https://www.newyorker.com/magazine/1994/03/14/way-down-deep-in-the-jungle,https://www.newyorker.com/magazine/1989/03/13/the-stylist,https://www.newyorker.com/magazine/1984/05/07/near-pala,https://www.newyorker.com/magazine/1978/10/30/comment-5799,https://www.newyorker.com/magazine/1973/06/09/troy-street,https://www.newyorker.com/magazine/1968/08/10/stories-of-africa,https://www.newyorker.com/magazine/1965/05/29/1965-05-29-020-tny-cards-000276418,https://www.newyorker.com/magazine/1955/01/29/dr-perelman-i-presume-or-snail-bore-in-africa-against-the-grain-with-charlene-bozeman,https://www.newyorker.com/magazine/1946/11/16/village-incident
2,https://www.cnn.com/2022/11/22/africa/gunmen-abduct-hundred-nigeria-intl/index.html,https://www.bbc.comhttps://www.bbc.co.uk/news/live/world-africa-62845605?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=637db1fed26f445dea943791%26Rwandan%20female%20referee%20makes%20history%20at%20World%20Cup%262022-11-23T06%3A33%3A40.692Z&ns_fee=0&pinned_post_locator=urn:asset:76429445-1d15-4887-9560-d1d8a4b8a799&pinned_post_asset_id=637db1fed26f445dea943791&pinned_post_type=share,https://www.nbcnews.com/news/world/zambia-seeks-answers-student-imprisoned-russia-dies-ukraine-war-rcna57196,https://www.foxnews.comhttps://www.factset.com/privacy,https://www.aljazeera.com/news/2022/11/22/thousands-strike-for-wage-increases-in-south-africa,https://www.washingtonpost.com/world/2022/11/15/black-panther-reaction-africa/,https://www.newyorker.com/contributors/julian-lucas,https://www.newyorker.com/culture/photo-booth/what-a-group-of-young-migrant-men-want-the-camera-to-see,https://www.newyorker.com/magazine/2020/04/13,https://www.newyorker.com/magazine/2018/09/24,https://www.newyorker.com/news/daily-comment,https://www.newyorker.com/culture/cultural-comment,https://www.newyorker.com/culture/photo-booth/dance-burkina-faso,https://www.newyorker.com/business/currency/is-china-moving-fast-enough-to-save-the-african-elephant,https://www.newyorker.com/news/news-desk,https://www.newyorker.com/contributors/nicholas-schmidle,https://www.newyorker.com/news/news-desk,https://www.newyorker.com/magazine/2013/03/25,https://www.newyorker.com/news/news-desk,https://www.newyorker.com/culture/photo-booth,https://www.newyorker.com/news/news-desk/heading-south,https://www.newyorker.com/magazine/the-political-scene,https://www.newyorker.com/contributors/john-lahr,https://www.newyorker.com/magazine/2009/05/04,https://www.newyorker.com/magazine/2008/10/13,https://www.newyorker.com/contributors/michael-specter,https://www.newyorker.com/contributors/jeffrey-goldberg,https://www.newyorker.com/contributors/philip-gourevitch,https://www.newyorker.com/contributors/jon-lee-anderson,https://www.newyorker.com/contributors/john-le-carre,https://www.newyorker.com/magazine/letter-from-east-africa,https://www.newyorker.com/magazine/photograph,https://www.newyorker.com/contributors/rebecca-mead,https://www.newyorker.com/magazine/1997/01/20/the-return-7,https://www.newyorker.com/contributors/v-s-naipaul,https://www.newyorker.com/contributors/thom-jones,https://www.newyorker.com/magazine/1989/03/13/the-stylist,https://www.newyorker.com/contributors/norman-rush,https://www.newyorker.com/contributors/jonathan-schell,https://www.newyorker.com/contributors/robert-hemenway,https://www.newyorker.com/contributors/maeve-brennan,https://www.newyorker.com/contributors/joan-larson,https://www.newyorker.com/contributors/s-j-perelman,https://www.newyorker.com/contributors/james-a-maxwell
3,https://www.cnn.com/2022/11/21/tech/twitter-africa-elon-musk-intl-lgs/index.html,https://www.bbc.com/news/world-africa-63710784,https://www.nbcnews.com/world/russia-ukraine-news,https://www.foxnews.comhttps://lipperalpha.refinitiv.com/,https://www.aljazeera.com/news/2022/11/22/imf-south-sudan-in-pact-for-emergency-funds-of-112-7-mln,https://www.washingtonpost.com/world/interactive/2022/kenya-glaciers-africa-climate-change/,https://www.newyorker.com/news/dispatch,https://www.newyorker.com/culture/photo-booth/what-a-group-of-young-migrant-men-want-the-camera-to-see,https://www.newyorker.com/magazine/2020/04/13/a-missionary-on-trial,https://www.newyorker.com/magazine/2018/09/24/afrobeats-the-nigerian-musicians-changing-the-sound-of-global-pop,https://www.newyorker.com/news/daily-comment/is-robert-mugabes-grip-on-zimbabwe-finally-at-an-end,https://www.newyorker.com/culture/cultural-comment/the-magnificent-cross-cultural-recordings-of-kenyas-kipsigis-tribe,https://www.newyorker.com/culture/photo-booth/dance-burkina-faso,https://www.newyorker.com/business/currency/is-china-moving-fast-enough-to-save-the-african-elephant,https://www.newyorker.com/news/news-desk/terrorism-rises-in-northern-africa,https://www.newyorker.com/business/currency,https://www.newyorker.com/news/news-desk/how-a-texas-philanthropist-helped-fund-the-hunt-for-joseph-kony,https://www.newyorker.com/magazine/2013/03/25/harlem-chic,https://www.newyorker.com/news/news-desk/continent-or-country-a-guide-to-the-candidates-on-africa,https://www.newyorker.com/culture/photo-booth/living-ghosts-in-exile-with-the-sahrawi-bedouins,https://www.newyorker.com/news/news-desk/heading-south,https://www.newyorker.com/magazine/2010/09/13,https://www.newyorker.com/magazine/a-reporter-at-large,https://www.newyorker.com/magazine/2009/05/04/the-life-after,https://www.newyorker.com/magazine/2008/10/13/reading-babar,https://www.newyorker.com/magazine/a-reporter-at-large,https://www.newyorker.com/magazine/books,https://www.newyorker.com/magazine/books,https://www.newyorker.com/magazine/letter-from-zimbabwe,https://www.newyorker.com/magazine/comment,https://www.newyorker.com/magazine/1999/08/23,https://www.newyorker.com/magazine/1998/08/17,https://www.newyorker.com/magazine/artists-easel,https://www.newyorker.com/contributors/philip-gourevitch,https://www.newyorker.com/magazine/annals-of-epidemiology,https://www.newyorker.com/magazine/fiction,https://www.newyorker.com/contributors/jennifer-egan,https://www.newyorker.com/magazine/books,https://www.newyorker.com/magazine/letter-from-addis-ababa,https://www.newyorker.com/magazine/poems,https://www.newyorker.com/magazine/fiction,https://www.newyorker.com/contributors/burton-bernstein,https://www.newyorker.com/magazine/fiction,https://www.newyorker.com/magazine/fiction
4,https://www.cnn.com/2022/11/21/africa/president-obiang-extends-rule-intl/index.html,https://www.bbc.com/news/world-africa-63716286,https://www.nbcnews.com/news/world/world-population-passes-8-billion-rcna57195,https://www.foxnews.com/health/why-somalia-not-declared-famine-one-worst-cases-widespread-hunger,https://www.aljazeera.com/news/2022/11/22/al-shabab-gunman-kills-three-kenyan-peacekeepers-in-somalia,https://www.washingtonpost.com/climate-environment/,https://www.newyorker.com/news/dispatch/the-monks-who-took-the-kora-to-church,https://www.newyorker.com/contributors/eren-orbey,https://www.newyorker.com/magazine/2020/04/13/a-missionary-on-trial,https://www.newyorker.com/magazine/2018/09/24/afrobeats-the-nigerian-musicians-changing-the-sound-of-global-pop,https://www.newyorker.com/news/daily-comment/is-robert-mugabes-grip-on-zimbabwe-finally-at-an-end,https://www.newyorker.com/culture/cultural-comment/the-magnificent-cross-cultural-recordings-of-kenyas-kipsigis-tribe,https://www.newyorker.com/contributors/the-new-yorker,https://www.newyorker.com/contributors/peter-canby,https://www.newyorker.com/news/news-desk/terrorism-rises-in-northern-africa,https://www.newyorker.com/business/currency/young-africans-white-house,https://www.newyorker.com/news/news-desk/how-a-texas-philanthropist-helped-fund-the-hunt-for-joseph-kony,https://www.newyorker.com/magazine/2013/03/25/harlem-chic,https://www.newyorker.com/news/news-desk/continent-or-country-a-guide-to-the-candidates-on-africa,https://www.newyorker.com/culture/photo-booth/living-ghosts-in-exile-with-the-sahrawi-bedouins,https://www.newyorker.com/contributors/philip-gourevitch,https://www.newyorker.com/magazine/2010/09/13/frat-house-for-jesus,https://www.newyorker.com/magazine/2010/04/05,https://www.newyorker.com/magazine/2009/05/04/the-life-after,https://www.newyorker.com/magazine/2008/10/13/reading-babar,https://www.newyorker.com/magazine/2006/11/13,https://www.newyorker.com/magazine/2005/11/21,https://www.newyorker.com/magazine/2003/06/02,https://www.newyorker.com/magazine/2002/06/03,https://www.newyorker.com/magazine/2000/10/09,https://www.newyorker.com/magazine/1999/08/23/the-man-who-was-eaten-alive,https://www.newyorker.com/magazine/1998/08/17/out-of-africa-2,https://www.newyorker.com/magazine/1998/03/16,https://www.newyorker.com/magazine/a-reporter-at-large,https://www.newyorker.com/magazine/1995/05/22,https://www.newyorker.com/magazine/1993/06/21,https://www.newyorker.com/magazine/poems,https://www.newyorker.com/magazine/1983/05/16,https://www.newyorker.com/magazine/1978/07/31,https://www.newyorker.com/magazine/1973/03/31,https://www.newyorker.com/magazine/1967/07/08,https://www.newyorker.com/magazine/dance,https://www.newyorker.com/magazine/1954/12/18,https://www.newyorker.com/magazine/1946/10/05
5,https://www.cnn.com/2022/11/18/africa/vaccines-uganda-ebola-outbreak-intl-cmd/index.html,https://www.bbc.comhttps://www.bbc.co.uk/news/live/world-africa-62845605?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=637ceeb6d26f445dea9436e1%26Corruption%20cost%20Cameroon%20%2468m%20last%20year%20-%20report%262022-11-22T16%3A47%3A46.878Z&ns_fee=0&pinned_post_locator=urn:asset:12622c64-2f80-4fdb-a20c-8e13eb9eaa6c&pinned_post_asset_id=637ceeb6d26f445dea9436e1&pinned_post_type=share,https://www.nbcnews.com/news/world/egypt-hunger-strike-alaa-abd-el-fattah-sister-abdel-fattah-al-sisi-rcna56896,https://www.foxnews.com/world/kenya-import-1st-genetically-modified-maize-drought-food-shortage,https://www.aljazeera.com/qatar-world-cup-2022/,https://www.washingtonpost.com/climate-environment/2022/11/08/egypt-cop27-alaa-hunger-strike/,https://www.newyorker.com/news/dispatch/the-monks-who-took-the-kora-to-church,https://www.newyorker.com/magazine/a-reporter-at-large,https://www.newyorker.com/contributors/ariel-levy,https://www.newyorker.com/contributors/namsa-leuba,https://www.newyorker.com/contributors/philip-gourevitch,https://www.newyorker.com/contributors/amanda-petrusich,https://www.newyorker.com/culture/cultural-comment,https://www.newyorker.com/news/news-desk,https://www.newyorker.com/contributors/jon-lee-anderson,https://www.newyorker.com/business/currency/young-africans-white-house,https://www.newyorker.com/contributors/elizabeth-rubin,https://www.newyorker.com/contributors/kelefa-sanneh,https://www.newyorker.com/contributors/alexis-okeowo,https://www.newyorker.com/contributors/caroline-hirsch,https://www.newyorker.com/magazine/briefly-noted,https://www.newyorker.com/magazine/2010/09/13/frat-house-for-jesus,https://www.newyorker.com/magazine/2010/04/05/the-hunted,https://www.newyorker.com/contributors/philip-gourevitch,https://www.newyorker.com/magazine/critics-notebook,https://www.newyorker.com/magazine/2006/11/13/the-megacity,https://www.newyorker.com/magazine/2005/11/21/flashy-to-the-rescue,https://www.newyorker.com/magazine/2003/06/02/botswana-blues,https://www.newyorker.com/magazine/2002/06/03/wasteland,https://www.newyorker.com/magazine/2000/10/09/comment-they-are-the-world,https://www.newyorker.com/magazine/1999/08/23/the-man-who-was-eaten-alive,https://www.newyorker.com/magazine/1998/08/17/out-of-africa-2,https://www.newyorker.com/magazine/1998/03/16/jungle-book-2,https://www.newyorker.com/magazine/1996/11/18,https://www.newyorker.com/magazine/1995/05/22/back-in-the-hot-zone,https://www.newyorker.com/magazine/1993/06/21/cold-snap,https://www.newyorker.com/magazine/1987/02/16,https://www.newyorker.com/magazine/1983/05/16/empires-end,https://www.newyorker.com/magazine/1978/07/31/letter-from-addis-ababa,https://www.newyorker.com/magazine/1973/03/31/in-the-village-africa,https://www.newyorker.com/magazine/1967/07/08/little-kwanda-does-it-again,https://www.newyorker.com/magazine/1963/04/13,https://www.newyorker.com/magazine/1954/12/18/going-ashore,https://www.newyorker.com/magazine/1946/10/05/coupe-de-grace
6,https://www.cnn.com/2022/11/18/africa/gates-foundation-africa-pledge-intl/index.html,https://www.bbc.comhttps://www.bbc.co.uk/news/live/world-africa-62845605?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=637d01bbe7e8f473cfbfb19f%26Nigeria%20starts%20commercial%20oil%20drilling%20in%20north%262022-11-22T17%3A18%3A27.865Z&ns_fee=0&pinned_post_locator=urn:asset:ec0beb60-dc62-4e26-83cb-49fc7ead7f76&pinned_post_asset_id=637d01bbe7e8f473cfbfb19f&pinned_post_type=share,https://www.nbcnews.com/news/world/tanzania-plane-lake-victoria-precision-air-crash-rcna55850,https://www.foxnews.com/us/vermont-grants-ugandan-activist-yearlong-stay-deportation,https://www.aljazeera.com/news/2022/11/22/world-cup-2022-key-events-at-a-glance-day-2,https://www.washingtonpost.com/people/siobhan-ogrady/,https://www.newyorker.com/contributors/julian-lucas,https://www.newyorker.com/magazine/2021/05/31,https://www.newyorker.com/culture/culture-desk,https://www.newyorker.com/culture/cultural-comment,https://www.newyorker.com/news/news-desk,https://www.newyorker.com/books/page-turner,https://www.newyorker.com/culture/cultural-comment/the-limits-of-message-movies-about-africa,https://www.newyorker.com/news/news-desk/who-would-kill-a-giraffe,https://www.newyorker.com/news/news-desk,https://www.newyorker.com/contributors/dayo-olopade,https://www.newyorker.com/business/currency,https://www.newyorker.com/news/news-desk,https://www.newyorker.com/news/news-desk,https://www.newyorker.com/magazine/pop-music,https://www.newyorker.com/magazine/2011/02/14,https://www.newyorker.com/contributors/peter-j-boyer,https://www.newyorker.com/magazine/2010/04/05/the-hunted,https://www.newyorker.com/culture/richard-brody,https://www.newyorker.com/magazine/2008/06/30,https://www.newyorker.com/magazine/2006/11/13/the-megacity,https://www.newyorker.com/magazine/2005/11/21/flashy-to-the-rescue,https://www.newyorker.com/magazine/2003/06/02/botswana-blues,https://www.newyorker.com/magazine/2002/06/03/wasteland,https://www.newyorker.com/magazine/2000/10/09/comment-they-are-the-world,https://www.newyorker.com/contributors/george-plimpton,https://www.newyorker.com/contributors/william-klein,https://www.newyorker.com/magazine/1998/03/16/jungle-book-2,https://www.newyorker.com/magazine/1996/11/18/recovering-from-apartheid,https://www.newyorker.com/magazine/1995/05/22/back-in-the-hot-zone,https://www.newyorker.com/magazine/1993/06/21/cold-snap,https://www.newyorker.com/magazine/1987/02/16/partial-accounts,https://www.newyorker.com/magazine/1983/05/16/empires-end,https://www.newyorker.com/magazine/1978/07/31/letter-from-addis-ababa,https://www.newyorker.com/magazine/1973/03/31/in-the-village-africa,https://www.newyorker.com/magazine/1967/07/08/little-kwanda-does-it-again,https://www.newyorker.com/magazine/1963/04/13/poetry-3,https://www.newyorker.com/magazine/1954/12/18/going-ashore,https://www.newyorker.com/magazine/1946/10/05/coupe-de-grace
7,https://www.cnn.com/2022/11/17/africa/lekki-deep-sea-port-construction-completion-spc-intl/index.html,https://www.bbc.com/news/world-africa-63716103,https://www.nbcnews.com/news/world/egypt-tutankhamun-tomb-ancient-mummies-discovery-giza-king-feti-cairo-rcna55700,https://www.foxnews.com/world/kenyas-second-building-collapse-week-kills-2,https://www.aljazeera.com/qatar-world-cup-2022/,https://www.washingtonpost.com/people/sarah-kaplan/,https://www.newyorker.com/magazine/letter-from-lusanga,https://www.newyorker.com/magazine/2021/05/31/the-dark-side-of-congos-cobalt-rush,https://www.newyorker.com/culture/culture-desk/can-the-wildlife-of-east-africa-be-saved-a-visit-with-richard-leakey,https://www.newyorker.com/culture/cultural-comment/reading-naipaul-in-africa,https://www.newyorker.com/news/news-desk/where-is-the-empathy-for-somalia,https://www.newyorker.com/books/page-turner/bringing-african-books-back-home,https://www.newyorker.com/culture/cultural-comment/the-limits-of-message-movies-about-africa,https://www.newyorker.com/news/news-desk/who-would-kill-a-giraffe,https://www.newyorker.com/news/news-desk/egypt-libya-isis,https://www.newyorker.com/news/news-desk,https://www.newyorker.com/business/currency/china-zambia-and-a-clash-in-a-coal-mine,https://www.newyorker.com/news/news-desk/debate-night-in-kenya,https://www.newyorker.com/news/news-desk/ten-biggest-positive-africa-stories-of-2011,https://www.newyorker.com/magazine/2011/05/02,https://www.newyorker.com/magazine/2011/02/14/the-memory-of-love,https://www.newyorker.com/books/page-turner,https://www.newyorker.com/contributors/jeffrey-goldberg,https://www.newyorker.com/culture/richard-brody/sacred-places,https://www.newyorker.com/magazine/2008/06/30/made-in-africa,https://www.newyorker.com/contributors/george-packer,https://www.newyorker.com/contributors/john-updike,https://www.newyorker.com/contributors/john-updike,https://www.newyorker.com/contributors/philip-gourevitch,https://www.newyorker.com/contributors/john-cassidy,https://www.newyorker.com/magazine/adventure,https://www.newyorker.com/magazine/life-and-letters,https://www.newyorker.com/contributors/michael-roberts,https://www.newyorker.com/magazine/1996/11/18/recovering-from-apartheid,https://www.newyorker.com/contributors/richard-preston,https://www.newyorker.com/contributors/thom-jones,https://www.newyorker.com/magazine/1987/02/16/partial-accounts,https://www.newyorker.com/contributors/john-updike,https://www.newyorker.com/contributors/joseph-kraft,https://www.newyorker.com/contributors/andrew-oerke,https://www.newyorker.com/contributors/gordon-cotler,https://www.newyorker.com/magazine/1963/04/13/poetry-3,https://www.newyorker.com/contributors/mavis-gallant,https://www.newyorker.com/contributors/james-a-maxwell
8,https://www.cnn.com/2022/11/14/africa/zambian-prisoner-killed-ukraine-intl/index.html,https://www.bbc.comhttps://www.bbc.co.uk/news/live/world-africa-62845605?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=637cdc996967ef5dc539844b%26Ten%20Chad%20soldiers%20killed%20in%20ambush%20by%20Islamists%262022-11-22T14%3A33%3A22.426Z&ns_fee=0&pinned_post_locator=urn:asset:3e1f8e3a-3243-4ec0-827e-f617458fce11&pinned_post_asset_id=637cdc996967ef5dc539844b&pinned_post_type=share,https://www.nbcnews.com/video/ghanaian-climate-activist-draws-standing-ovation-at-cop27-154181701639,https://www.foxnews.com/world/gates-foundation-pledges-7b-africa-ukraine-crisis-disrupts-donation-flow,https://www.aljazeera.com/sports/2022/11/21/qatar-world-cup-2022-netherlands-strike-late-to-beat-senegal,https://www.washingtonpost.com/world/2022/11/07/tanzania-lake-victoria-crash-investigation/,https://www.newyorker.com/magazine/2022/07/25,https://www.newyorker.com/magazine/2021/05/31/the-dark-side-of-congos-cobalt-rush,https://www.newyorker.com/culture/culture-desk/can-the-wildlife-of-east-africa-be-saved-a-visit-with-richard-leakey,https://www.newyorker.com/culture/cultural-comment/reading-naipaul-in-africa,https://www.newyorker.com/news/news-desk/where-is-the-empathy-for-somalia,https://www.newyorker.com/books/page-turner/bringing-african-books-back-home,https://www.newyorker.com/contributors/alexis-okeowo,https://www.newyorker.com/contributors/robin-wright,https://www.newyorker.com/news/news-desk/egypt-libya-isis,https://www.newyorker.com/news/news-desk/end-ugandas-anti-homosexuality-act-now,https://www.newyorker.com/business/currency/china-zambia-and-a-clash-in-a-coal-mine,https://www.newyorker.com/news/news-desk/debate-night-in-kenya,https://www.newyorker.com/news/news-desk/ten-biggest-positive-africa-stories-of-2011,https://www.newyorker.com/magazine/2011/05/02/world-of-wonder,https://www.newyorker.com/magazine/2011/02/14/the-memory-of-love,https://www.newyorker.com/books/page-turner/in-the-news-comics-go-public-what-killed-mozart,https://www.newyorker.com/culture/photo-booth,https://www.newyorker.com/culture/richard-brody/sacred-places,https://www.newyorker.com/magazine/2008/06/30/made-in-africa,https://www.newyorker.com/magazine/briefly-noted,https://www.newyorker.com/magazine/a-reporter-at-large,https://www.newyorker.com/magazine/books,https://www.newyorker.com/magazine/annals-of-economics,https://www.newyorker.com/magazine/the-talk-of-the-town,https://www.newyorker.com/magazine/1999/08/23,https://www.newyorker.com/magazine/1998/08/03,https://www.newyorker.com/magazine/fiction,https://www.newyorker.com/contributors/tina-rosenberg,https://www.newyorker.com/magazine/letter-from-mogadishu,https://www.newyorker.com/magazine/fiction,https://www.newyorker.com/contributors/william-meredith,https://www.newyorker.com/magazine/fiction,https://www.newyorker.com/magazine/affairs-of-state,https://www.newyorker.com/magazine/comment,https://www.newyorker.com/magazine/fiction,https://www.newyorker.com/contributors/e-n-sargent,https://www.newyorker.com/magazine/fiction,https://www.newyorker.com/magazine/fiction
9,https://www.cnn.com/2022/09/10/africa/colonialism-africa-queen-elizabeth-intl/index.html,https://www.bbc.com/news/world-africa-63703145,https://www.nbcnews.com/video/lagos-nigeria-keeps-growing-as-world-population-passes-8-billion-153665093874,https://www.foxnews.com/world/sudanese-tribal-clashes-darfur-leaves-48-dead,https://www.aljazeera.com/news/2022/11/21/uganda-to-send-1000-troops-to-congo-as-part-of-regional-force,https://www.washingtonpost.com/people/leo-sands/,https://www.newyorker.com/magazine/2022/07/25/can-an-artists-collective-in-africa-repair-a-colonial-legacy,https://www.newyorker.com/contributors/nicolas-niarchos,https://www.newyorker.com/contributors/jon-lee-anderson,https://www.newyorker.com/contributors/george-packer,https://www.newyorker.com/contributors/alexis-okeowo,https://www.newyorker.com/contributors/daniel-a-gross,https://www.newyorker.com/news/news-desk,https://www.newyorker.com/culture/photo-booth,https://www.newyorker.com/contributors/jon-lee-anderson,https://www.newyorker.com/news/news-desk/end-ugandas-anti-homosexuality-act-now,https://www.newyorker.com/contributors/alexis-okeowo,https://www.newyorker.com/contributors/james-verini,https://www.newyorker.com/contributors/alexis-okeowo,https://www.newyorker.com/magazine/2011/05/02/world-of-wonder,https://www.newyorker.com/news/news-desk,https://www.newyorker.com/books/page-turner/in-the-news-comics-go-public-what-killed-mozart,https://www.newyorker.com/culture/photo-booth/on-and-off-the-walls-pieter-hugos-africa,https://www.newyorker.com/news/news-desk,https://www.newyorker.com/contributors/sasha-frere-jones,https://www.newyorker.com/magazine/2006/10/16,https://www.newyorker.com/magazine/2005/10/24,https://www.newyorker.com/magazine/2003/06/02,https://www.newyorker.com/magazine/2002/03/18,https://www.newyorker.com/magazine/2000/10/09,https://www.newyorker.com/magazine/1999/08/23/rope-burn,https://www.newyorker.com/magazine/1998/08/03/the-enigma-of-friendship,https://www.newyorker.com/magazine/1998/01/19,https://www.newyorker.com/magazine/personal-history,https://www.newyorker.com/magazine/1995/03/20,https://www.newyorker.com/magazine/1993/04/26,https://www.newyorker.com/magazine/american-chronicles,https://www.newyorker.com/magazine/1983/04/04,https://www.newyorker.com/magazine/1978/06/12,https://www.newyorker.com/magazine/1971/08/14,https://www.newyorker.com/magazine/1967/05/20,https://www.newyorker.com/magazine/fiction,https://www.newyorker.com/magazine/1954/11/06,https://www.newyorker.com/magazine/1944/10/28
