term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"violence","violenc","475","1000","0.475","0","0"
"conflict","conflict","231","1000","0.231","0","0"
"africa","africa","225","1000","0.225","0","0"
"south","south","117","1000","0.117","0","0"
"african","african","105","1000","0.105","0","0"
"people","peopl","83","1000","0.083","0","0"
"country","countri","80","1000","0.08","0","0"
"gun","gun","77","1000","0.077","0","0"
"police","polic","67","1000","0.067","0","0"
"domestic","domest","62","1000","0.062","0","0"
"report","report","60","1000","0.06","0","0"
"black","black","57","1000","0.057","0","0"
"new","new","55","1000","0.055","0","0"
"president","presid","54","1000","0.054","0","0"
"national","nation","54","1000","0.054","0","0"
"war","war","45","1000","0.045","0","0"
"trump","trump","44","1000","0.044","0","0"
"protests","protest","42","1000","0.042","0","0"
"killed","kill","42","1000","0.042","0","0"
"americans","american","42","1000","0.042","0","0"
"lives","live","41","1000","0.041","0","0"
"united","unit","39","1000","0.039","0","0"
"group","group","39","1000","0.039","0","0"
"interest","interest","38","1000","0.038","0","0"
"political","polit","37","1000","0.037","0","0"
"forces","forc","37","1000","0.037","0","0"
"support","support","35","1000","0.035","0","0"
"government","govern","34","1000","0.034","0","0"
"white","white","32","1000","0.032","0","0"
"military","militari","32","1000","0.032","0","0"
"million","million","31","1000","0.031","0","0"
"end","end","31","1000","0.031","0","0"
"world","world","29","1000","0.029","0","0"
"security","secur","29","1000","0.029","0","0"
"region","region","29","1000","0.029","0","0"
"leaders","leader","29","1000","0.029","0","0"
"including","includ","29","1000","0.029","0","0"
"women","women","28","1000","0.028","0","0"
"response","respons","28","1000","0.028","0","0"
"east","east","28","1000","0.028","0","0"
"time","time","27","1000","0.027","0","0"
"threat","threat","27","1000","0.027","0","0"
"middle","middl","27","1000","0.027","0","0"
"help","help","27","1000","0.027","0","0"
"city","citi","27","1000","0.027","0","0"
"week","week","26","1000","0.026","0","0"
"change","chang","26","1000","0.026","0","0"
"attack","attack","26","1000","0.026","0","0"
"rights","right","25","1000","0.025","0","0"
"prevent","prevent","25","1000","0.025","0","0"
"death","death","25","1000","0.025","0","0"
"victims","victim","24","1000","0.024","0","0"
"movement","movement","24","1000","0.024","0","0"
"west","west","23","1000","0.023","0","0"
"told","told","23","1000","0.023","0","0"
"syria","syria","23","1000","0.023","0","0"
"research","research","23","1000","0.023","0","0"
"communities","communiti","23","1000","0.023","0","0"
"authorities","author","23","1000","0.023","0","0"
"america","america","23","1000","0.023","0","0"
"so","so","22","1000","0.022","0","0"
"organization","organ","22","1000","0.022","0","0"
"increased","increas","22","1000","0.022","0","0"
"global","global","22","1000","0.022","0","0"
"day","day","22","1000","0.022","0","0"
"union","union","21","1000","0.021","0","0"
"sexual","sexual","21","1000","0.021","0","0"
"percent","percent","21","1000","0.021","0","0"
"officers","offic","21","1000","0.021","0","0"
"law","law","21","1000","0.021","0","0"
"fear","fear","21","1000","0.021","0","0"
"work","work","20","1000","0.02","0","0"
"plan","plan","20","1000","0.02","0","0"
"officials","offici","20","1000","0.02","0","0"
"health","health","20","1000","0.02","0","0"
"election","elect","20","1000","0.02","0","0"
"court","court","20","1000","0.02","0","0"
"continue","continu","20","1000","0.02","0","0"
"called","call","20","1000","0.02","0","0"
"business","busi","20","1000","0.02","0","0"
"public","public","19","1000","0.019","0","0"
"need","need","19","1000","0.019","0","0"
"month","month","19","1000","0.019","0","0"
"matter","matter","19","1000","0.019","0","0"
"justice","justic","19","1000","0.019","0","0"
"down","down","19","1000","0.019","0","0"
"crime","crime","19","1000","0.019","0","0"
"council","council","19","1000","0.019","0","0"
"china","china","19","1000","0.019","0","0"
"shooting","shoot","18","1000","0.018","0","0"
"campaign","campaign","18","1000","0.018","0","0"
"armed","arm","18","1000","0.018","0","0"
"workers","worker","17","1000","0.017","0","0"
"monday","monday","17","1000","0.017","0","0"
"market","market","17","1000","0.017","0","0"
"lead","lead","17","1000","0.017","0","0"
"international","intern","17","1000","0.017","0","0"
"human","human","17","1000","0.017","0","0"
"face","face","17","1000","0.017","0","0"
"central","central","17","1000","0.017","0","0"
"aid","aid","17","1000","0.017","0","0"
"thursday","thursday","16","1000","0.016","0","0"
"step","step","16","1000","0.016","0","0"
"power","power","16","1000","0.016","0","0"
"man","man","16","1000","0.016","0","0"
"europe","europ","16","1000","0.016","0","0"
"economic","econom","16","1000","0.016","0","0"
"civil","civil","16","1000","0.016","0","0"
"action","action","16","1000","0.016","0","0"
"woman","woman","15","1000","0.015","0","0"
"wednesday","wednesday","15","1000","0.015","0","0"
"vaccine","vaccin","15","1000","0.015","0","0"
"target","target","15","1000","0.015","0","0"
"republic","republ","15","1000","0.015","0","0"
"remain","remain","15","1000","0.015","0","0"
"provide","provid","15","1000","0.015","0","0"
"operation","oper","15","1000","0.015","0","0"
"obama","obama","15","1000","0.015","0","0"
"north","north","15","1000","0.015","0","0"
"former","former","15","1000","0.015","0","0"
"foreign","foreign","15","1000","0.015","0","0"
"following","follow","15","1000","0.015","0","0"
"far","far","15","1000","0.015","0","0"
"children","children","15","1000","0.015","0","0"
"charges","charg","15","1000","0.015","0","0"
"biden","biden","15","1000","0.015","0","0"
"back","back","15","1000","0.015","0","0"
"york","york","14","1000","0.014","0","0"
"protect","protect","14","1000","0.014","0","0"
"media","media","14","1000","0.014","0","0"
"major","major","14","1000","0.014","0","0"
"long","long","14","1000","0.014","0","0"
"head","head","14","1000","0.014","0","0"
"effects","effect","14","1000","0.014","0","0"
"ebola","ebola","14","1000","0.014","0","0"
"director","director","14","1000","0.014","0","0"
"democratic","democrat","14","1000","0.014","0","0"
"border","border","14","1000","0.014","0","0"
"violent","violent","13","1000","0.013","0","0"
"view","view","13","1000","0.013","0","0"
"type","type","13","1000","0.013","0","0"
"tuesday","tuesday","13","1000","0.013","0","0"
"trial","trial","13","1000","0.013","0","0"
"street","street","13","1000","0.013","0","0"
"statement","statement","13","1000","0.013","0","0"
"start","start","13","1000","0.013","0","0"
"speak","speak","13","1000","0.013","0","0"
"schools","school","13","1000","0.013","0","0"
"return","return","13","1000","0.013","0","0"
"result","result","13","1000","0.013","0","0"
