term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"african","african","460","1000","0.46","2.1139849804274244","-0.13024812997081953"
"violence","violenc","317","1000","0.317","-0.46136618616348224","1.5485750109362817"
"muslim","muslim","87","1000","0.087","1.6416955050643727","0.6567854359066699"
"sudan","sudan","78","1000","0.078","1.4528332223867932","0.24263879458361276"
"conflicts","conflict","70","1000","0.07","-0.428784890644556","0.6293614681438985"
"peacekeepers","peacekeep","69","1000","0.069","-0.06351136556822932","1.9788860299755762"
"nations","nation","66","1000","0.066","0.14647071748477972","0.4045631049531425"
"africa","africa","66","1000","0.066","2.3644490183390756","-0.04067043602338896"
"united","unit","64","1000","0.064","-0.041666183009928186","0.09836433841808612"
"rebel","rebel","62","1000","0.062","-0.09999156081195383","1.4150275481598629"
"congo","congo","60","1000","0.06","1.043944340635737","0.09575383321560434"
"christian","christian","60","1000","0.06","1.678024394814943","0.21308142616496203"
"armed","arm","59","1000","0.059","-0.2835056798996479","0.5824192953648036"
"children","children","56","1000","0.056","-0.2167613020664949","0.2352814546914334"
"bangui","bangui","48","1000","0.048","",""
"democratic","democrat","41","1000","0.041","0.09704070240566105","1.0856416097421568"
"french","french","40","1000","0.04","1.8117547966141365","-0.5591571987314397"
"militias","militia","36","1000","0.036","0.036896858479110575","2.0028079013407294"
"humanitarian","humanitarian","35","1000","0.035","-0.23750445447633034","1.1850018120431904"
"refugees","refuge","34","1000","0.034","-0.08759114822608947","1.3335963182113848"
"syria","syria","32","1000","0.032","1.5191805297740992","0.413691691551259"
"sectarian","sectarian","32","1000","0.032","-0.06546491308299633","1.3852471739652852"
"ethnic","ethnic","31","1000","0.031","-0.04432169810363349","0.8043604183573878"
"civilians","civilian","31","1000","0.031","-0.32351678324969635","1.6851255744933917"
"rape","rape","30","1000","0.03","-0.21587999089666973","0.797563949647463"
"displaced","displac","29","1000","0.029","-0.4739958601155585","0.565217766027681"
"france","franc","28","1000","0.028","2.2180817813800244","-0.3721293525137453"
"abuse","abus","26","1000","0.026","-0.3192492184602459","0.478246360929001"
"seleka","seleka","25","1000","0.025","",""
"somalia","somalia","23","1000","0.023","1.3051748343832623","0.5002346735204917"
"republic's","republ","23","1000","0.023","0.3732613154476763","0.8665485000397821"
"iraq","iraq","23","1000","0.023","2.190406994429498","0.44143981951051886"
"francis","franci","23","1000","0.023","1.425581007375263","-0.48250640535806033"
"crimes","crime","23","1000","0.023","-0.24526908013115026","1.1347619268585332"
"crisis","crisi","22","1000","0.022","-0.31269344483471695","0.4976851913398024"
"pope","pope","20","1000","0.02","0.002110822120128328","0.5339176511119821"
"flee","flee","19","1000","0.019","-0.47225967146175907","0.5889683256847471"
"nigeria","nigeria","18","1000","0.018","2.7680604599473457","0.22838810933430015"
"mali","mali","18","1000","0.018","1.2890916637801029","-0.05440319832640332"
"elections","elect","18","1000","0.018","-0.0802765017818793","1.0474011407496688"
"deployed","deploy","18","1000","0.018","-0.36346552360219947","-0.10069150975144964"
"soldiers","soldier","17","1000","0.017","-0.1682220634696882","0.9732721820730559"
"global","global","17","1000","0.017","-0.006162645503069256","-0.4747752572676411"
"crises","crise","16","1000","0.016","-0.24619492179641836","0.6206737331415448"
"cameroon","cameroon","16","1000","0.016","",""
"army","armi","16","1000","0.016","0.09704896477908431","0.9109558457133723"
"anti-balaka","anti-balaka","16","1000","0.016","",""
"afghanistan","afghanistan","16","1000","0.016","1.9158853430097689","0.5343943338635672"
"rwanda","rwanda","15","1000","0.015","",""
"leader","leader","15","1000","0.015","-0.37918871093421463","-0.21657942048843778"
"genocide","genocid","15","1000","0.015","0.12778168578534202","1.679576756906743"
"funding","fund","15","1000","0.015","-0.3978523287084822","-0.19131800701780405"
"european","european","15","1000","0.015","2.047348017804471","-0.5889170992759166"
"world's","world","14","1000","0.014","0.15787670416382438","-0.3717151696201629"
"western","western","14","1000","0.014","-0.06990123571421147","-0.07175614717803296"
"wars","war","14","1000","0.014","0.33318122350902385","0.5665644735088351"
"lra","lra","14","1000","0.014","",""
"chaos","chao","14","1000","0.014","-0.28658749464553823","0.6806084019673335"
"brutal","brutal","14","1000","0.014","-0.409992025871962","0.32175747898544743"
"ban","ban","14","1000","0.014","-0.34853465371448383","0.038523140204154635"
"america","america","14","1000","0.014","2.402862796324016","-0.373646855004887"
"allegations","alleg","14","1000","0.014","-0.7091429458763224","0.26561699859549404"
"unicef","unicef","13","1000","0.013","0.45716377008494435","-0.2116670354301677"
"reuters","reuter","13","1000","0.013","1.3485113279471077","-0.1514270153037663"
"perpetrated","perpetr","13","1000","0.013","-0.19053821557756487","0.2727660326865477"
"country's","countri","13","1000","0.013","0.7332089474100886","-0.11712271979601437"
"violent","violent","12","1000","0.012","-0.41453774804357096","0.6635325177972624"
"uganda","uganda","12","1000","0.012","0.8449485559353088","-0.054911887122068966"
"myanmar","myanmar","12","1000","0.012","0.6432914147887173","-0.06578695136348217"
"mosque","mosqu","12","1000","0.012","0.19980566207907807","0.7159070171150601"
"kony","koni","12","1000","0.012","",""
"eastern","eastern","12","1000","0.012","-0.06256442305598482","-0.03579643919481509"
"diamonds","diamond","12","1000","0.012","0.2819463169522817","0.050682616310978895"
"syrian","syrian","11","1000","0.011","0.85159762336974","0.09525547205754203"
"stability","stabil","11","1000","0.011","-0.32227248011403337","0.1035033618447981"
"restore","restor","11","1000","0.011","-0.43016237431798093","-0.45262833073565073"
"protesters","protest","11","1000","0.011","-0.26046073051767477","0.8418105545288944"
"minerals","miner","11","1000","0.011","0.11009140765415532","0.13426210202182887"
"independence","independ","11","1000","0.011","-0.008344897710635946","0.637602682861308"
"families","famili","11","1000","0.011","-0.33715182241448527","0.1507172451368527"
"american","american","11","1000","0.011","2.0687066468649546","-0.5372466305968138"
