,cnn,bbc,nbc,fox,aljazeera
0,https://www.cnn.com/interactive/2020/weather/gonzalo-storm-path-tracker/index.html,https://www.bbc.com/news/live/world-africa-62845605,https://www.nbcnews.com/news/world/cop27-negotiators-push-deal-overtime-climate-talks-rcna58001,https://www.foxnews.comhttps://www.factset.com/,https://www.aljazeera.com/news/2022/11/22/world-cup-2022-key-events-at-a-glance-day-2
1,https://www.cnn.com/2022/11/21/africa/president-obiang-extends-rule-intl/index.html,https://www.bbc.com/news/world-africa-63703145,https://www.nbcnews.com/climate-in-crisis,https://www.foxnews.comhttps://www.factset.com/solutions/business-needs/digital-solutions,https://www.aljazeera.com/qatar-world-cup-2022/
2,https://www.cnn.com/2022/11/19/world/cop27-egypt-agreement-climate-intl/index.html,https://www.bbc.com/news/world-africa-63700284,https://www.nbcnews.com/news/world/climate-reparations-cop27-what-it-means-rcna49105,https://www.foxnews.comhttps://www.factset.com/privacy,https://www.aljazeera.com/sports/2022/11/21/qatar-world-cup-2022-netherlands-strike-late-to-beat-senegal
3,https://www.cnn.com/2022/11/18/africa/vaccines-uganda-ebola-outbreak-intl-cmd/index.html,https://www.bbc.comhttps://www.bbc.co.uk/news/live/world-africa-62845605?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=637b588fe7e8f473cfbfae8d%26SA%20ex-President%20Jacob%20Zuma%20ordered%20to%20return%20to%20jail%262022-11-21T11%3A06%3A22.794Z&ns_fee=0&pinned_post_locator=urn:asset:2af956e3-d0a6-43b7-a6ac-fb2950394cee&pinned_post_asset_id=637b588fe7e8f473cfbfae8d&pinned_post_type=share,https://www.nbcnews.com/news/world/zambia-seeks-answers-student-imprisoned-russia-dies-ukraine-war-rcna57196,https://www.foxnews.comhttps://lipperalpha.refinitiv.com/,https://www.aljazeera.com/news/2022/11/21/uganda-to-send-1000-troops-to-congo-as-part-of-regional-force
4,https://www.cnn.com/2022/11/18/africa/gates-foundation-africa-pledge-intl/index.html,https://www.bbc.com/news/world-africa-63705578,https://www.nbcnews.com/world/russia-ukraine-news,https://www.foxnews.com/health/why-somalia-not-declared-famine-one-worst-cases-widespread-hunger,https://www.aljazeera.com/podcasts/2022/11/21/african-coaches-take-centre-stage-at-world-cup-2022
5,https://www.cnn.com/2022/11/17/africa/lekki-deep-sea-port-construction-completion-spc-intl/index.html,https://www.bbc.comhttps://www.bbc.co.uk/news/live/world-africa-62845605?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=637b3dda49d9ef23494bb1db%26Kenya%20urges%20probe%20over%20baobab%20uprooting%20for%20export%262022-11-21T12%3A35%3A06.980Z&ns_fee=0&pinned_post_locator=urn:asset:f9c66e9c-0b9b-4000-8f57-f2944f91a482&pinned_post_asset_id=637b3dda49d9ef23494bb1db&pinned_post_type=share,https://www.nbcnews.com/news/world/world-population-passes-8-billion-rcna57195,https://www.foxnews.com/health/why-somalia-not-declared-famine-one-worst-cases-widespread-hunger,https://www.aljazeera.com/news/2022/11/21/equatorial-guinea-ruling-party-wins-99-of-votes-early-election-results
6,https://www.cnn.com/2022/11/14/africa/zambian-prisoner-killed-ukraine-intl/index.html,https://www.bbc.comhttps://www.bbc.co.uk/news/live/world-africa-62845605?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=637b4f28f15ea55905e42caa%26South%20Africa%20pit%20bulls%20burnt%20to%20death%20after%20attacking%20child%262022-11-21T10%3A20%3A41.361Z&ns_fee=0&pinned_post_locator=urn:asset:58dad436-45bf-4261-a09f-83180a0c853a&pinned_post_asset_id=637b4f28f15ea55905e42caa&pinned_post_type=share,https://www.nbcnews.com/news/world/egypt-hunger-strike-alaa-abd-el-fattah-sister-abdel-fattah-al-sisi-rcna56896,https://www.foxnews.com/health/why-somalia-not-declared-famine-one-worst-cases-widespread-hunger,https://www.aljazeera.com/news/2022/11/21/south-african-court-orders-zuma-back-to-jail-after-ruling-medical-parole-was-unlawful
7,https://www.cnn.com/2022/11/14/africa/western-hypocrisy-climate-change-intl/index.html,https://www.bbc.comhttps://www.bbc.co.uk/news/live/world-africa-62845605?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=637b3dd152314367adffe22b%26Veteran%20leader%20on%20course%20for%20Equatorial%20Guinea%20poll%20win%262022-11-21T09%3A51%3A51.735Z&ns_fee=0&pinned_post_locator=urn:asset:426acbda-dd59-433e-8415-757f52ed56fa&pinned_post_asset_id=637b3dd152314367adffe22b&pinned_post_type=share,https://www.nbcnews.com/news/world/tanzania-plane-lake-victoria-precision-air-crash-rcna55850,https://www.foxnews.com/world/kenya-import-1st-genetically-modified-maize-drought-food-shortage,https://www.aljazeera.com/qatar-world-cup-2022/
8,https://www.cnn.com/2022/11/10/africa/tiktokers-flogged-kano-nigeria-intl/index.html,https://www.bbc.com/news/world-africa-62768438,https://www.nbcnews.com/news/world/egypt-tutankhamun-tomb-ancient-mummies-discovery-giza-king-feti-cairo-rcna55700,https://www.foxnews.com/world/kenya-import-1st-genetically-modified-maize-drought-food-shortage,https://www.aljazeera.com/sports/2022/11/21/our-ai-robots-predictions-for-todays-world-cup-matches
9,https://www.cnn.com/2022/09/10/africa/colonialism-africa-queen-elizabeth-intl/index.html,https://www.bbc.com/news/world-africa-63638459,https://www.nbcnews.com/video/ghanaian-climate-activist-draws-standing-ovation-at-cop27-154181701639,https://www.foxnews.com/world/kenya-import-1st-genetically-modified-maize-drought-food-shortage,https://www.aljazeera.com/features/2022/11/21/burkina-faso-schoolchildren-pay-double-price-in-ongoing-conflict
