,whitelistArray,conflictAndViolenceArray,natureArray,generalizationArray,tribalismArray,exceptions
0,pan-african,violenc,wildlif,africa,ethnic,conflicting
1,pan african,conflict,fauna,subsaharan,nomad,conflicted
2,african studies,war,habitat,continent,bushmen,been
3,african union,atroc,conserv,sub-saharan,tribe,feedback
4,south africa,crime,animal,,pygmy,aiding
5,west africa,violent,bird,,tribal,boat
6,north africa,weapon,livestock,,,boating
7,east africa,insurg,hunt,,,boats
8,southern africa,chao,park,,,warm
9,northern africa,arm,biota,,,warms
10,eastern africa,terror,gees,,,warming
11,western africa,flee,egyptian gees,,,warmed
12,african american,militia,egyptian goos,,,lionel
13,natural gas,outbreak,goos,,,
14,central african republic,crisis,wild,,,
15,central african,crises,nature,,,
16,,brutal,camping,,,
17,,collaps,wildcat,,,
18,,tension,savag,,,
19,,rebel,wild-typ,,,
20,,genocid,waterfowl,,,
21,,clash,deer,,,
22,,dead,barbary stag,,,
23,,erupt,ecolog,,,
24,,crimin,biodivers,,,
25,,extremist,forest,,,
26,,abus,wildfowl,,,
27,,escal,endangered speci,,,
28,,rape,conservationist,,,
29,,sanction,raptor,,,
30,,corrupt,wetland,,,
31,,radic,otter,,,
32,,ban,spotted necked ott,,,
33,,bomb,african clawless ott,,,
34,,blood,congo clawless ott,,,
35,,cease-fir,eurasian ott,,,
36,,coup,fisheri,,,
37,,assault,waterbird,,,
38,,kidnap,poacher,,,
39,,battl,bird sanctuar,,,
40,,abduct,ecosystem,,,
41,,aggressor,reptil,,,
42,,ambush,naturalist,,,
43,,anarch,marin,,,
44,,assassin,waterway,,,
45,,attack,antelop,,,
46,,authoritarian,wildflow,,,
47,,brigad,ecotour,,,
48,,carnag,seabird,,,
49,,casualt,turtl,,,
50,,counterterror,tortois,,,
51,,decimat,african spurred tortois,,,
52,,destabil,amphibian,,,
53,,destroy,wolves,,,
54,,destruct,stone curlew,,,
55,,dictator,fox,,,
56,,die,sacred ibi,,,
57,,death,african sacred ibi,,,
58,,disast,monarch butterfli,,,
59,,emerg,african monarch butterfli,,,
60,,enemy,plain tig,,,
61,,enemies,african monarch,,,
62,,exil,goshawk,,,
63,,explod,african goshawk,,,
64,,explos,cirl bunt,,,
65,,extremis,leopard,,,
66,,famin,panther,,,
67,,fascist,safari park,,,
68,,fatal,seafowl,,,
69,,foment,bird of passag,,,
70,,fighter,shore bird,,,
71,,gang,african black oystercatch,,,
72,,gbv,water thick-kne,,,
73,,gender-based viol,white-fronted plov,,,
74,,gender based viol,blacksmith plov,,,
75,,grenad,common sandpip,,,
76,,grim,zoo,,,
77,,gun,mammal,,,
78,,harass,gallery forest,,,
79,,harrow,bird tabl,,,
80,,horrif,sea cow,,,
81,,horror,manate,,,
82,,hostag,tropical rain forest,,,
83,,hostil,sea eleph,,,
84,,imprison,elephant seal,,,
85,,instabl,sea leopard,,,
86,,jail,aquatic bird,,,
87,,kill,wild dog,,,
88,,loot,african wild dog,,,
89,,lynch,marine anim,,,
90,,massacr,african eleph,,,
91,,milit,miombo woodland,,,
92,,missil,woodland,,,
93,,murder,elephant bird,,,
94,,overthr,rangership,,,
95,,paramilitari,wildgrav,,,
96,,paratroop,exotic,,,
97,,persecut,aquat,,,
98,,pillag,vertebr,,,
99,,prison,mammalian,,,
100,,raid,scenic,,,
101,,ravag,endemic,,,
102,,rebelli,ocean,,,
103,,retali,underwat,,,
104,,riot,predator,,,
105,,shoot,fish,,,
106,,slaughter,plant,,,
107,,smuggl,soil,,,
108,,soldier,cattl,,,
109,,suffer,insect,,,
110,,terrorist,wildland,,,
111,,traffick,extinct,,,
112,,tortur,wood,,,
113,,troop,eleph,,,
114,,unrest,duck,,,
115,,fled,poach,,,
116,,,watersh,,,
117,,,waterfal,,,
118,,,invertebr,,,
119,,,extermin,,,
120,,,shellfish,,,
121,,,whale,,,
122,,,buffalo,,,
123,,,african buffalo,,,
124,,,songbird,,,
125,,,eagl,,,
126,,,seal,,,
127,,,squirrel,,,
128,,,forest rang,,,
129,,,game warden,,,
130,,,gamekeep,,,
131,,,preservationist,,,
132,,,safari,,,
133,,,biospher,,,
134,,,environment,,,
135,,,freshwat,,,
136,,,herbivor,,,
137,,,pygmy hippopotamus,,,
138,,,ladybug,,,
139,,,golden eagl,,,
140,,,oranda goldfish,,,
141,,,oryx,,,
142,,,cheetah,,,
143,,,rabbit,,,
144,,,scorpion,,,
145,,,crocodil,,,
146,,,critically endang,,,
147,,,patas monki,,,
148,,,mamba,,,
149,,,comet moth,,,
150,,,bongo,,,
151,,,white rhinoceros,,,
152,,,madagascar cockroach,,,
153,,,dolphin,,,
154,,,eastern green mamba,,,
155,,,lizard,,,
156,,,night heron,,,
157,,,twig snak,,,
158,,,ostrich,,,
159,,,flycatch,,,
160,,,vervet monkey,,,
161,,,northern white rhinocero,,,
162,,,parrot,,,
163,,,shark,,,
164,,,angelshark,,,
165,,,olive baboon,,,
166,,,green bee eat,,,
167,,,flamingo,,,
168,,,bat,,,
169,,,shrimp,,,
170,,,fiddler crab,,,
171,,,dove,,,
172,,,jumping spid,,,
173,,,carpet vip,,,
174,,,horsefli,,,
175,,,jackson's chameleon,,,
176,,,gorilla,,,
177,,,donkey,,,
178,,,hyena,,,
179,,,mosquito,,,
180,,,sparrow,,,
181,,,macaqu,,,
182,,,short-eared owl,,,
183,,,dragonfli,,,
184,,,chimp,,,
185,,,birds of prey,,,
186,,,suni,,,
187,,,cape buffalo,,,
188,,,mountain,,,
189,,,striped hyena,,,
190,,,mountain gorilla,,,
191,,,madagascar hissing cockroach,,,
192,,,african civet,,,
193,,,cuckoo,,,
194,,,nile crocodil,,,
195,,,horned add,,,
196,,,butterfl,,,
197,,,cape elephant shrew,,,
198,,,hippo,,,
199,,,moth,,,
200,,,guinea fowl,,,
201,,,gecko,,,
202,,,brown hyena,,,
203,,,shrew,,,
204,,,yellow cobra,,,
205,,,pig,,,
206,,,warbler,,,
207,,,carpenter ,,,
208,,,woodpeck,,,
209,,,wild boar,,,
210,,,chimpanze,,,
211,,,snake,,,
212,,,hammerhead,,,
213,,,liger,,,
214,,,extirp,,,
215,,,bumblebe,,,
216,,,jellyfish,,,
217,,,southeastern black rhino,,,
218,,,catfish,,,
219,,,peacock,,,
220,,,radiated tortois,,,
221,,,lion,,,
222,,,cockroach,,,
223,,,eurasian jay,,,
224,,,sardin,,,
225,,,wild cat,,,
226,,,cod,,,
227,,,springbok,,,
228,,,horse,,,
229,,,jackal,,,
230,,,sea eagl,,,
231,,,frog,,,
232,,,hyrax,,,
233,,,cross river gorilla,,,
234,,,heron,,,
235,,,hoopo,,,
236,,,water buffalo,,,
237,,,common furniture beetl,,,
238,,,black rhino,,,
239,,,zebu,,,
240,,,scimitar-horned oryx,,,
241,,,eel,,,
242,,,warthog,,,
243,,,kingfish,,,
244,,,african tree toad,,,
245,,,impala,,,
246,,,gerbil,,,
247,,,vinegaroon,,,
248,,,biscuit beetl,,,
249,,,wolf,,,
250,,,devil's coach horse beetl,,,
251,,,lesser kudu,,,
252,,,gnat,,,
253,,,bush,,,
254,,,bird snak,,,
255,,,ring-tailed lemur,,,
256,,,leaf-tailed gecko,,,
257,,,huntsman spid,,,
258,,,bichir,,,
259,,,common wildebeest,,,
260,,,egyptian cobra,,,
261,,,egyptian asp,,,
262,,,linnet,,,
263,,,rhinoceros,,,
264,,,zebra,,,
265,,,gazell,,,
266,,,griffon vultur,,,
267,,,porcupin,,,
268,,,forest cobra,,,
269,,,egyptian tortois,,,
270,,,spider ball python,,,
271,,,forest hog,,,
272,,,african penguin,,,
273,,,dusky shark,,,
274,,,barb,,,
275,,,mole snak,,,
276,,,madagascar jacana,,,
277,,,termit,,,
278,,,chicken,,,
279,,,moorhen,,,
280,,,african grey parrot,,,
281,,,graylag goos,,,
282,,,red deer,,,
283,,,wryneck,,,
284,,,lionfish,,,
285,,,kudu,,,
286,,,tuna,,,
287,,,golden oriol,,,
288,,,stick insect,,,
289,,,aardvark,,,
290,,,european polecat,,,
291,,,african bush eleph,,,
292,,,red kit,,,
293,,,grey mouse lemur,,,
294,,,false widow spid,,,
295,,,lechwe antelop,,,
296,,,crested cran,,,
297,,,blue whal,,,
298,,,stork,,,
299,,,forest eleph,,,
300,,,puku,,,
301,,,civet,,,
302,,,bald eagl,,,
303,,,orb weav,,,
304,,,mongoos,,,
305,,,vine snak,,,
306,,,baboon,,,
307,,,skink lizard,,,
308,,,king cobra,,,
309,,,sheep,,,
310,,,pheasant,,,
311,,,horned vip,,,
312,,,bat-eared fox,,,
313,,,silky shark,,,
314,,,dik-dik,,,
315,,,fossa,,,
316,,,tiger,,,
317,,,tiger beetl,,,
318,,,goat,,,
319,,,manta ray,,,
320,,,xerus,,,
321,,,camel,,,
322,,,quail,,,
323,,,okapi,,,
324,,,senegal parrot,,,
325,,,marabou stork,,,
326,,,achrioptera manga,,,
327,,,brown bear,,,
328,,,desert rain frog,,,
329,,,monkey,,,
330,,,river turtl,,,
331,,,african palm civet,,,
332,,,rhinocero,,,
333,,,african gray parrot,,,
334,,,stiletto snak,,,
335,,,bush vip,,,
336,,,carac,,,
337,,,honey badg,,,
338,,,rhino,,,
339,,,nigerian goat,,,
340,,,rock hyrax,,,
341,,,pangolin,,,
342,,,peregrine falcon,,,
343,,,crane,,,
344,,,crow,,,
345,,,song thrush,,,
346,,,fire ball python,,,
347,,,dinopithecus,,,
348,,,electric catfish,,,
349,,,lappet-face vultur,,,
350,,,banana spid,,,
351,,,bush babi,,,
352,,,marlin,,,
353,,,hamadryas baboon,,,
354,,,nyala,,,
355,,,cat,,,
356,,,bushbabi,,,
357,,,galago,,,
358,,,woodlouse spid,,,
359,,,spotted hyena,,,
360,,,kestrel,,,
361,,,black widow,,,
362,,,satanic leaf-tailed gecko,,,
363,,,goldcrest,,,
364,,,pata,,,
365,,,scimitar oryx,,,
366,,,desert warthog,,,
367,,,barracuda,,,
368,,,grasshopp,,,
369,,,coton de tulear,,,
370,,,egyptian mau,,,
371,,,red spitting cobra,,,
372,,,hedgehog,,,
373,,,duiker,,,
374,,,bonobo,,,
375,,,housefli,,,
376,,,sand vip,,,
377,,,mozambique spitting cobra,,,
378,,,common hippo,,,
379,,,vultur,,,
380,,,goliath beetl,,,
381,,,porpois,,,
382,,,oribi,,,
383,,,hamster,,,
384,,,black rhinocero,,,
385,,,bearded vultur,,,
386,,,green bee-eat,,,
387,,,fennec fox,,,
388,,,gembsok oryx,,,
389,,,woodlous,,,
390,,,waterbuck,,,
391,,,dumeril's boa,,,
392,,,indri,,,
393,,,brown dog tick,,,
394,,,black rhinoceros,,,
395,,,common carp,,,
396,,,galapagos shark,,,
397,,,grant's gazell,,,
398,,,axanthic ball python,,,
399,,,fli,,,
400,,,african lion,,,
401,,,grey heron,,,
402,,,rooster,,,
403,,,parakeet,,,
404,,,african golden cat,,,
405,,,worm,,,
406,,,lappet-faced vultur,,,
407,,,strawberry hermit crab,,,
408,,,redstart,,,
409,,,black widow spid,,,
410,,,wildebeest,,,
411,,,gnu,,,
412,,,lichtenstein's hartebeest,,,
413,,,fruit bat,,,
414,,,burkina faso,,,
415,,,orange baboon tarantula,,,
416,,,patas monkey,,,
417,,,weasel,,,
418,,,cobra,,,
419,,,uromastyx,,,
420,,,sea turtl,,,
421,,,agama lizard,,,
422,,,turaco,,,
