,whitelistArray,conflictAndViolenceArray,natureArray,generalizationArray,tribalismArray,exceptions,probWords
0,pan-african,gbv,jungle,africa,ethnic,conflicting,ban
1,pan african,gender-based violence,big game,subsaharan,nomad,conflicted,bans
2,african studies,gender based violence,wildlif,continent,bushmen,feedback,banned
3,african union,violenc,fauna,sub-saharan,tribe,aiding,banning
4,south africa,conflict,habitat,,pygmy,lionel,ant
5,west africa,war,conservatio,,tribal,armstrong,ants
6,north africa,wars,animal,,clan,,crow
7,east africa,warring,livestock,,,,crows
8,southern africa,warfare,park,,,,cat
9,northern africa,warship,parks,,,,cats
10,eastern africa,wartime,biota,,,,bat
11,western africa,warzone,egyptian gees,,,,bats
12,african american,warzones,egyptian goos,,,,moth
13,central african republic,atroc,nature,,,,moths
14,central africa,crime,camping,,,,topi
15,african national congress,violent,wildcat,,,,topis
16,africanize,weapon,savag,,,,boa
17,african development bank group,insurg,wild-typ,,,,boas
18,great star of africa,chao,waterfowl,,,,cod
19,world resources institute africa,arm,barbary stag,,,,cods
20,power shift africa,terror,ecolog,,,,war
21,scramble for africa,flee,biodivers,,,,wars
22,black african,militia,wildfowl,,,,warring
23,african-american,outbreak,endangered speci,,,,warfare
24,french equitorial africa,crisis,raptor,,,,warship
25,,crises,wetland,,,,wartime
26,,brutal,spotted necked ott,,,,warzone
27,,collaps,african clawless ott,,,,warzones
28,,tension,congo clawless ott,,,,coup
29,,rebel,eurasian ott,,,,coups
30,,genocid,fisheri,,,,bee
31,,clash,waterbird,,,,bees
32,,dead,poacher,,,,park
33,,erupt,bird sanctuar,,,,parks
34,,crimin,ecosystem,,,,plant
35,,abus,reptil,,,,plants
36,,escal,naturalist,,,,cow
37,,rape,waterway,,,,cows
38,,sanction,wildflow,,,,barb
39,,corrupt,ecotour,,,,barbs
40,,radic,seabird,,,,
41,,ban,african spurred tortois,,,,
42,,bans,amphibian,,,,
43,,banned,wolves,,,,
44,,banning,stone curlew,,,,
45,,bomb,sacred ibi,,,,
46,,blood,african sacred ibi,,,,
47,,cease-fir,monarch butterfl,,,,
48,,coup,african monarch butterfl,,,,
49,,coups,plain tig,,,,
50,,assault,african monarch,,,,
51,,kidnap,goshawk,,,,
52,,battl,african goshawk,,,,
53,,abduct,cirl bunt,,,,
54,,aggressor,safari park,,,,
55,,ambush,seafowl,,,,
56,,anarch,bird of passag,,,,
57,,assassin,shore bird,,,,
58,,attack,african black oystercatch,,,,
59,,authoritarian,water thick-kne,,,,
60,,brigad,white-fronted plov,,,,
61,,carnag,blacksmith plov,,,,
62,,casualt,common sandpip,,,,
63,,counterterror,zoo,,,,
64,,decimat,mammal,,,,
65,,destabil,gallery forest,,,,
66,,destroy,bird tabl,,,,
67,,destruct,sea cow,,,,
68,,dictator,manate,,,,
69,,die,tropical rain forest,,,,
70,,death,sea eleph,,,,
71,,disast,elephant seal,,,,
72,,emergency,sea leopard,,,,
73,,emergencies,aquatic bird,,,,
74,,enemy,african wild dog,,,,
75,,enemies,marine anim,,,,
76,,exil,african eleph,,,,
77,,explod,miombo woodland,,,,
78,,explos,woodland,,,,
79,,extremis,elephant bird,,,,
80,,famin,rangership,,,,
81,,fascist,wildgrav,,,,
82,,fatal,exotic,,,,
