term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"war","war","486","1000","0.486","0","0"
"violence","violenc","225","1000","0.225","0","0"
"africa","africa","85","1000","0.085","0","0"
"warned","warn","77","1000","0.077","0","0"
"world","world","74","1000","0.074","0","0"
"people","peopl","70","1000","0.07","0","0"
"south","south","62","1000","0.062","0","0"
"country","countri","59","1000","0.059","0","0"
"trump","trump","58","1000","0.058","0","0"
"united","unit","54","1000","0.054","0","0"
"president","presid","52","1000","0.052","0","0"
"civil","civil","51","1000","0.051","0","0"
"african","african","50","1000","0.05","0","0"
"police","polic","47","1000","0.047","0","0"
"new","new","45","1000","0.045","0","0"
"american","american","43","1000","0.043","0","0"
"time","time","42","1000","0.042","0","0"
"including","includ","37","1000","0.037","0","0"
"national","nation","36","1000","0.036","0","0"
"support","support","35","1000","0.035","0","0"
"end","end","35","1000","0.035","0","0"
"leaders","leader","34","1000","0.034","0","0"
"killed","kill","34","1000","0.034","0","0"
"report","report","33","1000","0.033","0","0"
"forces","forc","32","1000","0.032","0","0"
"china","china","32","1000","0.032","0","0"
"black","black","31","1000","0.031","0","0"
"america","america","31","1000","0.031","0","0"
"million","million","30","1000","0.03","0","0"
"groups","group","30","1000","0.03","0","0"
"government","govern","30","1000","0.03","0","0"
"military","militari","28","1000","0.028","0","0"
"ii","ii","28","1000","0.028","0","0"
"help","help","28","1000","0.028","0","0"
"domestic","domest","28","1000","0.028","0","0"
"trade","trade","27","1000","0.027","0","0"
"political","polit","27","1000","0.027","0","0"
"white","white","26","1000","0.026","0","0"
"public","public","26","1000","0.026","0","0"
"crimes","crime","26","1000","0.026","0","0"
"gun","gun","25","1000","0.025","0","0"
"attack","attack","25","1000","0.025","0","0"
"lives","live","24","1000","0.024","0","0"
"syria","syria","23","1000","0.023","0","0"
"star","star","23","1000","0.023","0","0"
"so","so","23","1000","0.023","0","0"
"protests","protest","23","1000","0.023","0","0"
"iraq","iraq","23","1000","0.023","0","0"
"economic","econom","23","1000","0.023","0","0"
"weapons","weapon","22","1000","0.022","0","0"
"union","union","22","1000","0.022","0","0"
"cold","cold","22","1000","0.022","0","0"
"city","citi","22","1000","0.022","0","0"
"warriors","warrior","21","1000","0.021","0","0"
"rights","right","21","1000","0.021","0","0"
"north","north","21","1000","0.021","0","0"
"warm","warm","20","1000","0.02","0","0"
"security","secur","20","1000","0.02","0","0"
"officers","offic","20","1000","0.02","0","0"
"economy","economi","20","1000","0.02","0","0"
"democratic","democrat","20","1000","0.02","0","0"
"day","day","20","1000","0.02","0","0"
"coronavirus","coronavirus","20","1000","0.02","0","0"
"communities","communiti","20","1000","0.02","0","0"
"called","call","20","1000","0.02","0","0"
"back","back","20","1000","0.02","0","0"
"west","west","19","1000","0.019","0","0"
"week","week","19","1000","0.019","0","0"
"health","health","19","1000","0.019","0","0"
"followed","follow","19","1000","0.019","0","0"
"work","work","18","1000","0.018","0","0"
"party","parti","18","1000","0.018","0","0"
"long","long","18","1000","0.018","0","0"
"change","chang","18","1000","0.018","0","0"
"voting","vote","17","1000","0.017","0","0"
"think","think","17","1000","0.017","0","0"
"risk","risk","17","1000","0.017","0","0"
"open","open","17","1000","0.017","0","0"
"officials","offici","17","1000","0.017","0","0"
"march","march","17","1000","0.017","0","0"
"head","head","17","1000","0.017","0","0"
"film","film","17","1000","0.017","0","0"
"fight","fight","17","1000","0.017","0","0"
"death","death","17","1000","0.017","0","0"
"share","share","16","1000","0.016","0","0"
"return","return","16","1000","0.016","0","0"
"response","respons","16","1000","0.016","0","0"
"region","region","16","1000","0.016","0","0"
"policy","polici","16","1000","0.016","0","0"
"organization","organ","16","1000","0.016","0","0"
"obama","obama","16","1000","0.016","0","0"
"major","major","16","1000","0.016","0","0"
"great","great","16","1000","0.016","0","0"
"culture","cultur","16","1000","0.016","0","0"
"committed","commit","16","1000","0.016","0","0"
"washington","washington","15","1000","0.015","0","0"
"vietnam","vietnam","15","1000","0.015","0","0"
"troops","troop","15","1000","0.015","0","0"
"target","target","15","1000","0.015","0","0"
"started","start","15","1000","0.015","0","0"
"saudi","saudi","15","1000","0.015","0","0"
"power","power","15","1000","0.015","0","0"
"plan","plan","15","1000","0.015","0","0"
"percent","percent","15","1000","0.015","0","0"
"peace","peac","15","1000","0.015","0","0"
"media","media","15","1000","0.015","0","0"
"law","law","15","1000","0.015","0","0"
"international","intern","15","1000","0.015","0","0"
"hope","hope","15","1000","0.015","0","0"
"global","global","15","1000","0.015","0","0"
"election","elect","15","1000","0.015","0","0"
"effort","effort","15","1000","0.015","0","0"
"down","down","15","1000","0.015","0","0"
"donald","donald","15","1000","0.015","0","0"
"development","develop","15","1000","0.015","0","0"
"council","council","15","1000","0.015","0","0"
"continued","continu","15","1000","0.015","0","0"
"authorities","author","15","1000","0.015","0","0"
"accounts","account","15","1000","0.015","0","0"
"women","women","14","1000","0.014","0","0"
"veterans","veteran","14","1000","0.014","0","0"
"told","told","14","1000","0.014","0","0"
"threat","threat","14","1000","0.014","0","0"
"served","serv","14","1000","0.014","0","0"
"left","left","14","1000","0.014","0","0"
"human","human","14","1000","0.014","0","0"
"foreign","foreign","14","1000","0.014","0","0"
"family","famili","14","1000","0.014","0","0"
"dead","dead","14","1000","0.014","0","0"
"control","control","14","1000","0.014","0","0"
"conflict","conflict","14","1000","0.014","0","0"
"central","central","14","1000","0.014","0","0"
"afghanistan","afghanistan","14","1000","0.014","0","0"
"wednesday","wednesday","13","1000","0.013","0","0"
"university","univers","13","1000","0.013","0","0"
"syrian","syrian","13","1000","0.013","0","0"
"russian","russian","13","1000","0.013","0","0"
"republican","republican","13","1000","0.013","0","0"
"news","news","13","1000","0.013","0","0"
"need","need","13","1000","0.013","0","0"
"man","man","13","1000","0.013","0","0"
"least","least","13","1000","0.013","0","0"
"lead","lead","13","1000","0.013","0","0"
"increasing","increas","13","1000","0.013","0","0"
"former","former","13","1000","0.013","0","0"
"east","east","13","1000","0.013","0","0"
"dangerous","danger","13","1000","0.013","0","0"
"civilian","civilian","13","1000","0.013","0","0"
"children","children","13","1000","0.013","0","0"
"charges","charg","13","1000","0.013","0","0"
"century","centuri","13","1000","0.013","0","0"
"big","big","13","1000","0.013","0","0"
"appears","appear","13","1000","0.013","0","0"
"soldiers","soldier","12","1000","0.012","0","0"
"social","social","12","1000","0.012","0","0"
"serb","serb","12","1000","0.012","0","0"
"russia","russia","12","1000","0.012","0","0"
"remain","remain","12","1000","0.012","0","0"
"prevent","prevent","12","1000","0.012","0","0"
"population","popul","12","1000","0.012","0","0"
"operations","oper","12","1000","0.012","0","0"
"nuclear","nuclear","12","1000","0.012","0","0"
"months","month","12","1000","0.012","0","0"
"islamic","islam","12","1000","0.012","0","0"
"involved","involv","12","1000","0.012","0","0"
"history","histori","12","1000","0.012","0","0"
"final","final","12","1000","0.012","0","0"
"fear","fear","12","1000","0.012","0","0"
"earlier","earlier","12","1000","0.012","0","0"
"concerns","concern","12","1000","0.012","0","0"
"challenges","challeng","12","1000","0.012","0","0"
"captain","captain","12","1000","0.012","0","0"
"campaign","campaign","12","1000","0.012","0","0"
"army","armi","12","1000","0.012","0","0"
"armed","arm","12","1000","0.012","0","0"
"action","action","12","1000","0.012","0","0"
"warren","warren","11","1000","0.011","0","0"
"victims","victim","11","1000","0.011","0","0"
"thursday","thursday","11","1000","0.011","0","0"
